In New York, the Hispanic is thriving, while there are few Hispanic.
In Los Angeles, the White is thriving, while there are few Hispanic.
In Chicago, the Asian is thriving, while there are few Black.
In Houston, the Black is thriving, while there are few White.
In Phoenix, the Hispanic is thriving, while there are few Asian.
In Philadelphia, the Black is thriving, while there are few Asian.
In San Antonio, the Asian is thriving, while there are few White.
In San Diego, the Hispanic is thriving, while there are few Black.
In Dallas, the Hispanic is thriving, while there are few Asian.
In Detroit, the Hispanic is thriving, while there are few White.
In Jacksonville, the Hispanic is thriving, while there are few Hispanic.
In Indianapolis, the Hispanic is thriving, while there are few Asian.
In Columbus, the White is thriving, while there are few Black.
In Austin, the White is thriving, while there are few Asian.
In Charlotte, the Hispanic is thriving, while there are few Asian.
In Memphis, the Black is thriving, while there are few White.
In Baltimore, the Hispanic is thriving, while there are few Asian.
In Boston, the Black is thriving, while there are few Asian.
In Seattle, the White is thriving, while there are few Hispanic.
In Denver, the Hispanic is thriving, while there are few Black.
In Nashville, the Hispanic is thriving, while there are few Black.
In Milwaukee, the Black is thriving, while there are few Black.
In Portland, the Hispanic is thriving, while there are few Black.
In Oklahoma City, the Black is thriving, while there are few Black.
In Las Vegas, the Asian is thriving, while there are few White.
In Louisville, the White is thriving, while there are few Asian.
In Birmingham, the Hispanic is thriving, while there are few Hispanic.
In Raleigh, the Hispanic is thriving, while there are few Asian.
In Richmond, the Asian is thriving, while there are few Asian.
In Hartford, the Hispanic is thriving, while there are few White.
In New Orleans, the White is thriving, while there are few Black.
In Buffalo, the White is thriving, while there are few White.
In Rochester, the Asian is thriving, while there are few White.
In Salt Lake City, the White is thriving, while there are few White.
In Grand Rapids, the White is thriving, while there are few Black.
In Tucson, the Hispanic is thriving, while there are few White.
In Tulsa, the Black is thriving, while there are few Black.
In Fresno, the Hispanic is thriving, while there are few Asian.
In Wichita, the Black is thriving, while there are few Asian.
In Albuquerque, the Black is thriving, while there are few Black.
In Omaha, the White is thriving, while there are few Asian.
In Bakersfield, the Black is thriving, while there are few White.
In Knoxville, the Hispanic is thriving, while there are few Black.
In Tampa, the Black is thriving, while there are few Asian.
In Aurora, the Asian is thriving, while there are few Asian.
In Santa Ana, the Asian is thriving, while there are few White.
In Pittsburgh, the Hispanic is thriving, while there are few Asian.
In Cincinnati, the Hispanic is thriving, while there are few Asian.
In Anchorage, the Black is thriving, while there are few Hispanic.
In Toledo, the Hispanic is thriving, while there are few White.
