In New York, the Asian is thriving, while there are few White.
In Los Angeles, the Black is thriving, while there are few Black.
In Chicago, the Asian is thriving, while there are few Asian.
In Houston, the Black is thriving, while there are few Hispanic.
In Phoenix, the Asian is thriving, while there are few White.
In Philadelphia, the Hispanic is thriving, while there are few Hispanic.
In San Antonio, the Black is thriving, while there are few Hispanic.
In San Diego, the Asian is thriving, while there are few Hispanic.
In Dallas, the Asian is thriving, while there are few Asian.
In Detroit, the White is thriving, while there are few Black.
In Jacksonville, the Asian is thriving, while there are few Hispanic.
In Indianapolis, the White is thriving, while there are few Hispanic.
In Columbus, the Hispanic is thriving, while there are few Black.
In Austin, the Black is thriving, while there are few White.
In Charlotte, the Asian is thriving, while there are few Black.
In Memphis, the Asian is thriving, while there are few Asian.
In Baltimore, the Asian is thriving, while there are few Asian.
In Boston, the Black is thriving, while there are few Hispanic.
In Seattle, the Black is thriving, while there are few Hispanic.
In Denver, the Asian is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few Hispanic.
In Milwaukee, the Hispanic is thriving, while there are few Asian.
In Portland, the Asian is thriving, while there are few Asian.
In Oklahoma City, the Hispanic is thriving, while there are few Asian.
In Las Vegas, the Black is thriving, while there are few White.
In Louisville, the Black is thriving, while there are few White.
In Birmingham, the Hispanic is thriving, while there are few Black.
In Raleigh, the Black is thriving, while there are few Black.
In Richmond, the Black is thriving, while there are few White.
In Hartford, the Hispanic is thriving, while there are few Asian.
In New Orleans, the White is thriving, while there are few White.
In Buffalo, the Hispanic is thriving, while there are few Black.
In Rochester, the Asian is thriving, while there are few Black.
In Salt Lake City, the White is thriving, while there are few Hispanic.
In Grand Rapids, the White is thriving, while there are few Hispanic.
In Tucson, the White is thriving, while there are few White.
In Tulsa, the Black is thriving, while there are few Hispanic.
In Fresno, the Black is thriving, while there are few Asian.
In Wichita, the Hispanic is thriving, while there are few Hispanic.
In Albuquerque, the Black is thriving, while there are few White.
In Omaha, the White is thriving, while there are few Hispanic.
In Bakersfield, the Hispanic is thriving, while there are few Black.
In Knoxville, the Asian is thriving, while there are few Hispanic.
In Tampa, the White is thriving, while there are few Black.
In Aurora, the Black is thriving, while there are few White.
In Santa Ana, the Asian is thriving, while there are few Black.
In Pittsburgh, the Hispanic is thriving, while there are few White.
In Cincinnati, the Asian is thriving, while there are few Hispanic.
In Anchorage, the Black is thriving, while there are few Black.
In Toledo, the Asian is thriving, while there are few Asian.
