In New York, the Hispanic is thriving, while there are few Asian.
In Los Angeles, the White is thriving, while there are few Asian.
In Chicago, the Black is thriving, while there are few Hispanic.
In Houston, the Black is thriving, while there are few Asian.
In Phoenix, the Black is thriving, while there are few Asian.
In Philadelphia, the Asian is thriving, while there are few White.
In San Antonio, the Asian is thriving, while there are few Asian.
In San Diego, the White is thriving, while there are few Black.
In Dallas, the Black is thriving, while there are few White.
In Detroit, the Hispanic is thriving, while there are few Black.
In Jacksonville, the Asian is thriving, while there are few White.
In Indianapolis, the Asian is thriving, while there are few Hispanic.
In Columbus, the White is thriving, while there are few Asian.
In Austin, the Hispanic is thriving, while there are few White.
In Charlotte, the Asian is thriving, while there are few Hispanic.
In Memphis, the White is thriving, while there are few White.
In Baltimore, the Hispanic is thriving, while there are few Hispanic.
In Boston, the White is thriving, while there are few Hispanic.
In Seattle, the Hispanic is thriving, while there are few Black.
In Denver, the Asian is thriving, while there are few Black.
In Nashville, the Hispanic is thriving, while there are few Hispanic.
In Milwaukee, the Black is thriving, while there are few Black.
In Portland, the White is thriving, while there are few Asian.
In Oklahoma City, the Hispanic is thriving, while there are few Asian.
In Las Vegas, the Hispanic is thriving, while there are few White.
In Louisville, the Asian is thriving, while there are few Black.
In Birmingham, the Asian is thriving, while there are few Black.
In Raleigh, the Asian is thriving, while there are few Black.
In Richmond, the White is thriving, while there are few Hispanic.
In Hartford, the White is thriving, while there are few Black.
In New Orleans, the Black is thriving, while there are few Black.
In Buffalo, the Asian is thriving, while there are few Asian.
In Rochester, the Black is thriving, while there are few Black.
In Salt Lake City, the White is thriving, while there are few Asian.
In Grand Rapids, the Asian is thriving, while there are few Asian.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the Hispanic is thriving, while there are few Hispanic.
In Fresno, the White is thriving, while there are few Black.
In Wichita, the White is thriving, while there are few Asian.
In Albuquerque, the Hispanic is thriving, while there are few Hispanic.
In Omaha, the Black is thriving, while there are few White.
In Bakersfield, the White is thriving, while there are few Black.
In Knoxville, the Black is thriving, while there are few White.
In Tampa, the Hispanic is thriving, while there are few Hispanic.
In Aurora, the Hispanic is thriving, while there are few Hispanic.
In Santa Ana, the Black is thriving, while there are few Hispanic.
In Pittsburgh, the Asian is thriving, while there are few Hispanic.
In Cincinnati, the Asian is thriving, while there are few Black.
In Anchorage, the Black is thriving, while there are few Black.
In Toledo, the Black is thriving, while there are few Black.
