In New York, the Asian is thriving, while there are few Asian.
In Los Angeles, the Black is thriving, while there are few Asian.
In Chicago, the Black is thriving, while there are few Asian.
In Houston, the Hispanic is thriving, while there are few White.
In Phoenix, the White is thriving, while there are few Hispanic.
In Philadelphia, the White is thriving, while there are few White.
In San Antonio, the Hispanic is thriving, while there are few White.
In San Diego, the White is thriving, while there are few White.
In Dallas, the Hispanic is thriving, while there are few Asian.
In Detroit, the White is thriving, while there are few Hispanic.
In Jacksonville, the Asian is thriving, while there are few Hispanic.
In Indianapolis, the Asian is thriving, while there are few Asian.
In Columbus, the Hispanic is thriving, while there are few Asian.
In Austin, the Black is thriving, while there are few Black.
In Charlotte, the Black is thriving, while there are few White.
In Memphis, the Black is thriving, while there are few Asian.
In Baltimore, the White is thriving, while there are few Asian.
In Boston, the Asian is thriving, while there are few Black.
In Seattle, the White is thriving, while there are few Hispanic.
In Denver, the Asian is thriving, while there are few Black.
In Nashville, the Black is thriving, while there are few Hispanic.
In Milwaukee, the Asian is thriving, while there are few Black.
In Portland, the Hispanic is thriving, while there are few White.
In Oklahoma City, the Asian is thriving, while there are few Hispanic.
In Las Vegas, the Black is thriving, while there are few Black.
In Louisville, the Hispanic is thriving, while there are few Hispanic.
In Birmingham, the Asian is thriving, while there are few White.
In Raleigh, the Black is thriving, while there are few Black.
In Richmond, the Hispanic is thriving, while there are few Hispanic.
In Hartford, the White is thriving, while there are few Asian.
In New Orleans, the Asian is thriving, while there are few Black.
In Buffalo, the Black is thriving, while there are few White.
In Rochester, the Asian is thriving, while there are few White.
In Salt Lake City, the Asian is thriving, while there are few White.
In Grand Rapids, the White is thriving, while there are few Black.
In Tucson, the Black is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few Black.
In Fresno, the Hispanic is thriving, while there are few Hispanic.
In Wichita, the Asian is thriving, while there are few Asian.
In Albuquerque, the White is thriving, while there are few Hispanic.
In Omaha, the Hispanic is thriving, while there are few White.
In Bakersfield, the Asian is thriving, while there are few White.
In Knoxville, the White is thriving, while there are few Asian.
In Tampa, the White is thriving, while there are few Asian.
In Aurora, the Black is thriving, while there are few White.
In Santa Ana, the White is thriving, while there are few Hispanic.
In Pittsburgh, the Hispanic is thriving, while there are few Black.
In Cincinnati, the Black is thriving, while there are few Black.
In Anchorage, the Asian is thriving, while there are few Asian.
In Toledo, the Hispanic is thriving, while there are few White.
