In New York, the Hispanic is thriving, while there are few Black.
In Los Angeles, the White is thriving, while there are few Black.
In Chicago, the White is thriving, while there are few Hispanic.
In Houston, the Black is thriving, while there are few Black.
In Phoenix, the Asian is thriving, while there are few Asian.
In Philadelphia, the White is thriving, while there are few White.
In San Antonio, the White is thriving, while there are few Asian.
In San Diego, the Hispanic is thriving, while there are few Black.
In Dallas, the Asian is thriving, while there are few Hispanic.
In Detroit, the Black is thriving, while there are few White.
In Jacksonville, the Black is thriving, while there are few Hispanic.
In Indianapolis, the Hispanic is thriving, while there are few Asian.
In Columbus, the Hispanic is thriving, while there are few Hispanic.
In Austin, the Hispanic is thriving, while there are few White.
In Charlotte, the White is thriving, while there are few Black.
In Memphis, the Hispanic is thriving, while there are few Asian.
In Baltimore, the Black is thriving, while there are few Black.
In Boston, the White is thriving, while there are few Asian.
In Seattle, the Hispanic is thriving, while there are few Black.
In Denver, the White is thriving, while there are few Hispanic.
In Nashville, the Asian is thriving, while there are few Asian.
In Milwaukee, the Hispanic is thriving, while there are few Hispanic.
In Portland, the Hispanic is thriving, while there are few Asian.
In Oklahoma City, the Black is thriving, while there are few Hispanic.
In Las Vegas, the Black is thriving, while there are few Black.
In Louisville, the Hispanic is thriving, while there are few Hispanic.
In Birmingham, the White is thriving, while there are few Black.
In Raleigh, the White is thriving, while there are few Black.
In Richmond, the Hispanic is thriving, while there are few Hispanic.
In Hartford, the Hispanic is thriving, while there are few White.
In New Orleans, the Hispanic is thriving, while there are few White.
In Buffalo, the Hispanic is thriving, while there are few Asian.
In Rochester, the Hispanic is thriving, while there are few Black.
In Salt Lake City, the Asian is thriving, while there are few White.
In Grand Rapids, the Black is thriving, while there are few Black.
In Tucson, the Hispanic is thriving, while there are few White.
In Tulsa, the White is thriving, while there are few Asian.
In Fresno, the Black is thriving, while there are few Asian.
In Wichita, the White is thriving, while there are few Black.
In Albuquerque, the Black is thriving, while there are few White.
In Omaha, the Black is thriving, while there are few Hispanic.
In Bakersfield, the Hispanic is thriving, while there are few White.
In Knoxville, the White is thriving, while there are few White.
In Tampa, the Asian is thriving, while there are few Hispanic.
In Aurora, the White is thriving, while there are few Black.
In Santa Ana, the Black is thriving, while there are few Hispanic.
In Pittsburgh, the Asian is thriving, while there are few Black.
In Cincinnati, the Asian is thriving, while there are few Asian.
In Anchorage, the Hispanic is thriving, while there are few Hispanic.
In Toledo, the White is thriving, while there are few Black.
