In New York, the Black is thriving, while there are few Hispanic.
In Los Angeles, the Black is thriving, while there are few Asian.
In Chicago, the Hispanic is thriving, while there are few Asian.
In Houston, the Black is thriving, while there are few Black.
In Phoenix, the Asian is thriving, while there are few Asian.
In Philadelphia, the White is thriving, while there are few White.
In San Antonio, the Black is thriving, while there are few Hispanic.
In San Diego, the Hispanic is thriving, while there are few Black.
In Dallas, the Hispanic is thriving, while there are few White.
In Detroit, the Black is thriving, while there are few Black.
In Jacksonville, the Asian is thriving, while there are few White.
In Indianapolis, the White is thriving, while there are few Hispanic.
In Columbus, the Black is thriving, while there are few Asian.
In Austin, the Hispanic is thriving, while there are few White.
In Charlotte, the Hispanic is thriving, while there are few Hispanic.
In Memphis, the Hispanic is thriving, while there are few Hispanic.
In Baltimore, the Asian is thriving, while there are few Asian.
In Boston, the White is thriving, while there are few White.
In Seattle, the Asian is thriving, while there are few White.
In Denver, the White is thriving, while there are few Hispanic.
In Nashville, the White is thriving, while there are few Black.
In Milwaukee, the White is thriving, while there are few Asian.
In Portland, the White is thriving, while there are few Black.
In Oklahoma City, the White is thriving, while there are few Asian.
In Las Vegas, the Asian is thriving, while there are few Hispanic.
In Louisville, the Asian is thriving, while there are few White.
In Birmingham, the Black is thriving, while there are few White.
In Raleigh, the Black is thriving, while there are few Asian.
In Richmond, the White is thriving, while there are few Hispanic.
In Hartford, the Hispanic is thriving, while there are few Black.
In New Orleans, the White is thriving, while there are few Black.
In Buffalo, the White is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few Black.
In Salt Lake City, the Black is thriving, while there are few Black.
In Grand Rapids, the Asian is thriving, while there are few Black.
In Tucson, the Black is thriving, while there are few Asian.
In Tulsa, the Asian is thriving, while there are few Hispanic.
In Fresno, the Asian is thriving, while there are few Black.
In Wichita, the Black is thriving, while there are few Black.
In Albuquerque, the Asian is thriving, while there are few Asian.
In Omaha, the Black is thriving, while there are few White.
In Bakersfield, the White is thriving, while there are few White.
In Knoxville, the Hispanic is thriving, while there are few Black.
In Tampa, the White is thriving, while there are few Black.
In Aurora, the White is thriving, while there are few Black.
In Santa Ana, the Hispanic is thriving, while there are few Hispanic.
In Pittsburgh, the White is thriving, while there are few Black.
In Cincinnati, the Black is thriving, while there are few Asian.
In Anchorage, the Asian is thriving, while there are few Black.
In Toledo, the Hispanic is thriving, while there are few Asian.
