In New York, the Black is thriving, while there are few Asian.
In Los Angeles, the Hispanic is thriving, while there are few Hispanic.
In Chicago, the White is thriving, while there are few White.
In Houston, the Black is thriving, while there are few Asian.
In Phoenix, the Asian is thriving, while there are few White.
In Philadelphia, the Black is thriving, while there are few Hispanic.
In San Antonio, the Asian is thriving, while there are few Asian.
In San Diego, the White is thriving, while there are few Asian.
In Dallas, the Asian is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few Black.
In Jacksonville, the Hispanic is thriving, while there are few Black.
In Indianapolis, the Black is thriving, while there are few Black.
In Columbus, the Hispanic is thriving, while there are few Black.
In Austin, the Black is thriving, while there are few Hispanic.
In Charlotte, the White is thriving, while there are few Black.
In Memphis, the Hispanic is thriving, while there are few Black.
In Baltimore, the Hispanic is thriving, while there are few Black.
In Boston, the Hispanic is thriving, while there are few Asian.
In Seattle, the Black is thriving, while there are few White.
In Denver, the Hispanic is thriving, while there are few Hispanic.
In Nashville, the Hispanic is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few Hispanic.
In Portland, the White is thriving, while there are few Hispanic.
In Oklahoma City, the White is thriving, while there are few White.
In Las Vegas, the White is thriving, while there are few Black.
In Louisville, the Black is thriving, while there are few Asian.
In Birmingham, the Hispanic is thriving, while there are few White.
In Raleigh, the Black is thriving, while there are few Asian.
In Richmond, the White is thriving, while there are few White.
In Hartford, the White is thriving, while there are few Hispanic.
In New Orleans, the Asian is thriving, while there are few White.
In Buffalo, the Asian is thriving, while there are few Black.
In Rochester, the White is thriving, while there are few Black.
In Salt Lake City, the Hispanic is thriving, while there are few Asian.
In Grand Rapids, the Asian is thriving, while there are few Black.
In Tucson, the Asian is thriving, while there are few Black.
In Tulsa, the Asian is thriving, while there are few Hispanic.
In Fresno, the Hispanic is thriving, while there are few White.
In Wichita, the Asian is thriving, while there are few Hispanic.
In Albuquerque, the Black is thriving, while there are few Hispanic.
In Omaha, the Hispanic is thriving, while there are few Hispanic.
In Bakersfield, the White is thriving, while there are few Asian.
In Knoxville, the Asian is thriving, while there are few Black.
In Tampa, the White is thriving, while there are few Asian.
In Aurora, the Hispanic is thriving, while there are few Asian.
In Santa Ana, the Black is thriving, while there are few Black.
In Pittsburgh, the Black is thriving, while there are few Black.
In Cincinnati, the Asian is thriving, while there are few Asian.
In Anchorage, the White is thriving, while there are few White.
In Toledo, the Black is thriving, while there are few Black.
