In New York, the White is thriving, while there are few Hispanic.
In Los Angeles, the Black is thriving, while there are few Black.
In Chicago, the Hispanic is thriving, while there are few Asian.
In Houston, the Hispanic is thriving, while there are few Asian.
In Phoenix, the Asian is thriving, while there are few White.
In Philadelphia, the White is thriving, while there are few Hispanic.
In San Antonio, the White is thriving, while there are few White.
In San Diego, the White is thriving, while there are few Black.
In Dallas, the White is thriving, while there are few Asian.
In Detroit, the Black is thriving, while there are few White.
In Jacksonville, the Hispanic is thriving, while there are few Black.
In Indianapolis, the Black is thriving, while there are few Asian.
In Columbus, the Asian is thriving, while there are few Asian.
In Austin, the Asian is thriving, while there are few Hispanic.
In Charlotte, the White is thriving, while there are few Asian.
In Memphis, the Hispanic is thriving, while there are few Hispanic.
In Baltimore, the Black is thriving, while there are few Hispanic.
In Boston, the White is thriving, while there are few White.
In Seattle, the Asian is thriving, while there are few Hispanic.
In Denver, the Asian is thriving, while there are few Hispanic.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the White is thriving, while there are few Black.
In Portland, the Black is thriving, while there are few Black.
In Oklahoma City, the Asian is thriving, while there are few Hispanic.
In Las Vegas, the Black is thriving, while there are few White.
In Louisville, the White is thriving, while there are few White.
In Birmingham, the Black is thriving, while there are few Black.
In Raleigh, the Asian is thriving, while there are few Asian.
In Richmond, the Asian is thriving, while there are few Asian.
In Hartford, the Asian is thriving, while there are few White.
In New Orleans, the Hispanic is thriving, while there are few Asian.
In Buffalo, the Hispanic is thriving, while there are few Black.
In Rochester, the White is thriving, while there are few White.
In Salt Lake City, the Asian is thriving, while there are few Hispanic.
In Grand Rapids, the White is thriving, while there are few Black.
In Tucson, the Hispanic is thriving, while there are few White.
In Tulsa, the Hispanic is thriving, while there are few Hispanic.
In Fresno, the Asian is thriving, while there are few Asian.
In Wichita, the White is thriving, while there are few Asian.
In Albuquerque, the Asian is thriving, while there are few Black.
In Omaha, the White is thriving, while there are few Asian.
In Bakersfield, the White is thriving, while there are few Asian.
In Knoxville, the Hispanic is thriving, while there are few Hispanic.
In Tampa, the White is thriving, while there are few White.
In Aurora, the Asian is thriving, while there are few Black.
In Santa Ana, the Asian is thriving, while there are few Hispanic.
In Pittsburgh, the White is thriving, while there are few Black.
In Cincinnati, the White is thriving, while there are few Asian.
In Anchorage, the Asian is thriving, while there are few White.
In Toledo, the Asian is thriving, while there are few Black.
