In New York, the Asian is thriving, while there are few White.
In Los Angeles, the Asian is thriving, while there are few Black.
In Chicago, the Asian is thriving, while there are few Asian.
In Houston, the Black is thriving, while there are few Black.
In Phoenix, the White is thriving, while there are few Asian.
In Philadelphia, the Asian is thriving, while there are few Asian.
In San Antonio, the Hispanic is thriving, while there are few Hispanic.
In San Diego, the Asian is thriving, while there are few Black.
In Dallas, the Hispanic is thriving, while there are few Black.
In Detroit, the Asian is thriving, while there are few Hispanic.
In Jacksonville, the White is thriving, while there are few Asian.
In Indianapolis, the Hispanic is thriving, while there are few Hispanic.
In Columbus, the Hispanic is thriving, while there are few Black.
In Austin, the Hispanic is thriving, while there are few Hispanic.
In Charlotte, the Black is thriving, while there are few Black.
In Memphis, the Black is thriving, while there are few Black.
In Baltimore, the White is thriving, while there are few Hispanic.
In Boston, the Asian is thriving, while there are few Asian.
In Seattle, the White is thriving, while there are few Hispanic.
In Denver, the Black is thriving, while there are few White.
In Nashville, the White is thriving, while there are few Black.
In Milwaukee, the Asian is thriving, while there are few Black.
In Portland, the White is thriving, while there are few Black.
In Oklahoma City, the Hispanic is thriving, while there are few Black.
In Las Vegas, the White is thriving, while there are few Black.
In Louisville, the Asian is thriving, while there are few White.
In Birmingham, the White is thriving, while there are few Black.
In Raleigh, the Hispanic is thriving, while there are few Asian.
In Richmond, the Black is thriving, while there are few Asian.
In Hartford, the Asian is thriving, while there are few Black.
In New Orleans, the White is thriving, while there are few Asian.
In Buffalo, the Hispanic is thriving, while there are few Black.
In Rochester, the White is thriving, while there are few Asian.
In Salt Lake City, the Asian is thriving, while there are few Black.
In Grand Rapids, the Black is thriving, while there are few White.
In Tucson, the Black is thriving, while there are few White.
In Tulsa, the Hispanic is thriving, while there are few Asian.
In Fresno, the White is thriving, while there are few Asian.
In Wichita, the Black is thriving, while there are few Asian.
In Albuquerque, the White is thriving, while there are few White.
In Omaha, the Asian is thriving, while there are few White.
In Bakersfield, the Asian is thriving, while there are few White.
In Knoxville, the Hispanic is thriving, while there are few White.
In Tampa, the White is thriving, while there are few White.
In Aurora, the Hispanic is thriving, while there are few White.
In Santa Ana, the Asian is thriving, while there are few White.
In Pittsburgh, the Black is thriving, while there are few Black.
In Cincinnati, the White is thriving, while there are few White.
In Anchorage, the White is thriving, while there are few Asian.
In Toledo, the Hispanic is thriving, while there are few Hispanic.
