In New York, the Black is thriving, while there are few Asian.
In Los Angeles, the Black is thriving, while there are few Black.
In Chicago, the Black is thriving, while there are few White.
In Houston, the Hispanic is thriving, while there are few White.
In Phoenix, the Black is thriving, while there are few Asian.
In Philadelphia, the Black is thriving, while there are few Black.
In San Antonio, the Black is thriving, while there are few White.
In San Diego, the White is thriving, while there are few Black.
In Dallas, the White is thriving, while there are few Black.
In Detroit, the Hispanic is thriving, while there are few Black.
In Jacksonville, the White is thriving, while there are few Asian.
In Indianapolis, the Black is thriving, while there are few White.
In Columbus, the Asian is thriving, while there are few White.
In Austin, the Hispanic is thriving, while there are few Asian.
In Charlotte, the Asian is thriving, while there are few Black.
In Memphis, the White is thriving, while there are few Black.
In Baltimore, the Hispanic is thriving, while there are few White.
In Boston, the Asian is thriving, while there are few Black.
In Seattle, the White is thriving, while there are few White.
In Denver, the White is thriving, while there are few Black.
In Nashville, the White is thriving, while there are few Asian.
In Milwaukee, the Asian is thriving, while there are few Asian.
In Portland, the Asian is thriving, while there are few White.
In Oklahoma City, the Asian is thriving, while there are few Black.
In Las Vegas, the White is thriving, while there are few Asian.
In Louisville, the Asian is thriving, while there are few Hispanic.
In Birmingham, the Asian is thriving, while there are few Hispanic.
In Raleigh, the Hispanic is thriving, while there are few Asian.
In Richmond, the Hispanic is thriving, while there are few White.
In Hartford, the Asian is thriving, while there are few Asian.
In New Orleans, the Hispanic is thriving, while there are few Black.
In Buffalo, the Asian is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few Asian.
In Salt Lake City, the Hispanic is thriving, while there are few Asian.
In Grand Rapids, the White is thriving, while there are few Black.
In Tucson, the White is thriving, while there are few Hispanic.
In Tulsa, the Asian is thriving, while there are few Black.
In Fresno, the Black is thriving, while there are few White.
In Wichita, the Asian is thriving, while there are few Hispanic.
In Albuquerque, the Hispanic is thriving, while there are few White.
In Omaha, the White is thriving, while there are few Black.
In Bakersfield, the Hispanic is thriving, while there are few White.
In Knoxville, the Hispanic is thriving, while there are few White.
In Tampa, the Hispanic is thriving, while there are few Hispanic.
In Aurora, the Asian is thriving, while there are few White.
In Santa Ana, the Asian is thriving, while there are few White.
In Pittsburgh, the Asian is thriving, while there are few Asian.
In Cincinnati, the Black is thriving, while there are few White.
In Anchorage, the Black is thriving, while there are few Asian.
In Toledo, the Asian is thriving, while there are few Asian.
