In New York, the Black is thriving, while there are few Hispanic.
In Los Angeles, the Hispanic is thriving, while there are few Hispanic.
In Chicago, the Asian is thriving, while there are few White.
In Houston, the Hispanic is thriving, while there are few White.
In Phoenix, the Asian is thriving, while there are few Hispanic.
In Philadelphia, the White is thriving, while there are few Asian.
In San Antonio, the Black is thriving, while there are few Asian.
In San Diego, the Hispanic is thriving, while there are few White.
In Dallas, the Hispanic is thriving, while there are few Black.
In Detroit, the Asian is thriving, while there are few White.
In Jacksonville, the Hispanic is thriving, while there are few Asian.
In Indianapolis, the Black is thriving, while there are few Asian.
In Columbus, the Hispanic is thriving, while there are few Black.
In Austin, the Asian is thriving, while there are few White.
In Charlotte, the Asian is thriving, while there are few White.
In Memphis, the Hispanic is thriving, while there are few Black.
In Baltimore, the White is thriving, while there are few Asian.
In Boston, the White is thriving, while there are few Black.
In Seattle, the Asian is thriving, while there are few Asian.
In Denver, the White is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few Asian.
In Milwaukee, the Asian is thriving, while there are few Asian.
In Portland, the Black is thriving, while there are few Asian.
In Oklahoma City, the Asian is thriving, while there are few Asian.
In Las Vegas, the White is thriving, while there are few Asian.
In Louisville, the White is thriving, while there are few Black.
In Birmingham, the White is thriving, while there are few Black.
In Raleigh, the White is thriving, while there are few Hispanic.
In Richmond, the Black is thriving, while there are few Black.
In Hartford, the Asian is thriving, while there are few Asian.
In New Orleans, the Asian is thriving, while there are few Hispanic.
In Buffalo, the Asian is thriving, while there are few Hispanic.
In Rochester, the Hispanic is thriving, while there are few Hispanic.
In Salt Lake City, the Asian is thriving, while there are few Black.
In Grand Rapids, the Black is thriving, while there are few Asian.
In Tucson, the Hispanic is thriving, while there are few White.
In Tulsa, the Asian is thriving, while there are few Hispanic.
In Fresno, the White is thriving, while there are few Hispanic.
In Wichita, the Black is thriving, while there are few Black.
In Albuquerque, the Hispanic is thriving, while there are few White.
In Omaha, the Black is thriving, while there are few Hispanic.
In Bakersfield, the Asian is thriving, while there are few Asian.
In Knoxville, the White is thriving, while there are few White.
In Tampa, the Black is thriving, while there are few White.
In Aurora, the Black is thriving, while there are few Hispanic.
In Santa Ana, the Hispanic is thriving, while there are few Hispanic.
In Pittsburgh, the Black is thriving, while there are few Hispanic.
In Cincinnati, the Asian is thriving, while there are few Asian.
In Anchorage, the Hispanic is thriving, while there are few Asian.
In Toledo, the White is thriving, while there are few Black.
