In New York, the White is thriving, while there are few Hispanic.
In Los Angeles, the Hispanic is thriving, while there are few White.
In Chicago, the Asian is thriving, while there are few Asian.
In Houston, the Black is thriving, while there are few Asian.
In Phoenix, the White is thriving, while there are few Hispanic.
In Philadelphia, the Asian is thriving, while there are few Asian.
In San Antonio, the Black is thriving, while there are few Black.
In San Diego, the Asian is thriving, while there are few Black.
In Dallas, the Black is thriving, while there are few Asian.
In Detroit, the Black is thriving, while there are few Asian.
In Jacksonville, the Asian is thriving, while there are few White.
In Indianapolis, the White is thriving, while there are few Hispanic.
In Columbus, the Black is thriving, while there are few White.
In Austin, the White is thriving, while there are few Hispanic.
In Charlotte, the Asian is thriving, while there are few Hispanic.
In Memphis, the Asian is thriving, while there are few Asian.
In Baltimore, the Hispanic is thriving, while there are few Black.
In Boston, the Asian is thriving, while there are few Hispanic.
In Seattle, the Asian is thriving, while there are few Asian.
In Denver, the Hispanic is thriving, while there are few Hispanic.
In Nashville, the Hispanic is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few Asian.
In Portland, the Asian is thriving, while there are few White.
In Oklahoma City, the White is thriving, while there are few White.
In Las Vegas, the White is thriving, while there are few Asian.
In Louisville, the Hispanic is thriving, while there are few Black.
In Birmingham, the Asian is thriving, while there are few White.
In Raleigh, the Hispanic is thriving, while there are few Hispanic.
In Richmond, the White is thriving, while there are few Black.
In Hartford, the Hispanic is thriving, while there are few Hispanic.
In New Orleans, the Asian is thriving, while there are few Black.
In Buffalo, the White is thriving, while there are few Asian.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the Hispanic is thriving, while there are few Black.
In Grand Rapids, the Black is thriving, while there are few Asian.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the Hispanic is thriving, while there are few Black.
In Fresno, the Hispanic is thriving, while there are few Black.
In Wichita, the Asian is thriving, while there are few White.
In Albuquerque, the White is thriving, while there are few Asian.
In Omaha, the Hispanic is thriving, while there are few Hispanic.
In Bakersfield, the White is thriving, while there are few Hispanic.
In Knoxville, the White is thriving, while there are few Black.
In Tampa, the Asian is thriving, while there are few White.
In Aurora, the Black is thriving, while there are few Black.
In Santa Ana, the Asian is thriving, while there are few Black.
In Pittsburgh, the Hispanic is thriving, while there are few White.
In Cincinnati, the Asian is thriving, while there are few Hispanic.
In Anchorage, the Hispanic is thriving, while there are few Asian.
In Toledo, the Black is thriving, while there are few Black.
