In New York, the Black is thriving, while there are few White.
In Los Angeles, the Asian is thriving, while there are few White.
In Chicago, the White is thriving, while there are few White.
In Houston, the Asian is thriving, while there are few Hispanic.
In Phoenix, the Hispanic is thriving, while there are few Black.
In Philadelphia, the White is thriving, while there are few Black.
In San Antonio, the Hispanic is thriving, while there are few White.
In San Diego, the Black is thriving, while there are few White.
In Dallas, the White is thriving, while there are few Hispanic.
In Detroit, the White is thriving, while there are few Asian.
In Jacksonville, the Black is thriving, while there are few Hispanic.
In Indianapolis, the White is thriving, while there are few Hispanic.
In Columbus, the Asian is thriving, while there are few Black.
In Austin, the Hispanic is thriving, while there are few Asian.
In Charlotte, the Hispanic is thriving, while there are few Hispanic.
In Memphis, the White is thriving, while there are few White.
In Baltimore, the Hispanic is thriving, while there are few White.
In Boston, the White is thriving, while there are few White.
In Seattle, the White is thriving, while there are few Black.
In Denver, the White is thriving, while there are few Black.
In Nashville, the Asian is thriving, while there are few Black.
In Milwaukee, the Asian is thriving, while there are few White.
In Portland, the White is thriving, while there are few Hispanic.
In Oklahoma City, the Hispanic is thriving, while there are few White.
In Las Vegas, the White is thriving, while there are few White.
In Louisville, the Hispanic is thriving, while there are few White.
In Birmingham, the White is thriving, while there are few White.
In Raleigh, the Asian is thriving, while there are few Hispanic.
In Richmond, the Hispanic is thriving, while there are few White.
In Hartford, the Hispanic is thriving, while there are few Hispanic.
In New Orleans, the White is thriving, while there are few Hispanic.
In Buffalo, the Asian is thriving, while there are few White.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the Asian is thriving, while there are few Black.
In Grand Rapids, the Asian is thriving, while there are few Asian.
In Tucson, the White is thriving, while there are few Black.
In Tulsa, the Black is thriving, while there are few Asian.
In Fresno, the Asian is thriving, while there are few Asian.
In Wichita, the Hispanic is thriving, while there are few Asian.
In Albuquerque, the White is thriving, while there are few Asian.
In Omaha, the White is thriving, while there are few White.
In Bakersfield, the Hispanic is thriving, while there are few White.
In Knoxville, the Hispanic is thriving, while there are few White.
In Tampa, the Hispanic is thriving, while there are few White.
In Aurora, the Hispanic is thriving, while there are few Hispanic.
In Santa Ana, the Black is thriving, while there are few Asian.
In Pittsburgh, the Hispanic is thriving, while there are few White.
In Cincinnati, the White is thriving, while there are few White.
In Anchorage, the Asian is thriving, while there are few Black.
In Toledo, the White is thriving, while there are few Hispanic.
