In New York, the Black is thriving, while there are few Asian.
In Los Angeles, the White is thriving, while there are few Black.
In Chicago, the Black is thriving, while there are few Black.
In Houston, the Asian is thriving, while there are few White.
In Phoenix, the Hispanic is thriving, while there are few Asian.
In Philadelphia, the Hispanic is thriving, while there are few White.
In San Antonio, the Black is thriving, while there are few White.
In San Diego, the Black is thriving, while there are few Asian.
In Dallas, the White is thriving, while there are few Hispanic.
In Detroit, the Black is thriving, while there are few Black.
In Jacksonville, the White is thriving, while there are few Hispanic.
In Indianapolis, the Hispanic is thriving, while there are few Hispanic.
In Columbus, the Asian is thriving, while there are few Asian.
In Austin, the Asian is thriving, while there are few Black.
In Charlotte, the Hispanic is thriving, while there are few Hispanic.
In Memphis, the White is thriving, while there are few Hispanic.
In Baltimore, the Black is thriving, while there are few White.
In Boston, the White is thriving, while there are few Hispanic.
In Seattle, the Black is thriving, while there are few Black.
In Denver, the Asian is thriving, while there are few White.
In Nashville, the Asian is thriving, while there are few Hispanic.
In Milwaukee, the White is thriving, while there are few Hispanic.
In Portland, the White is thriving, while there are few Asian.
In Oklahoma City, the White is thriving, while there are few Black.
In Las Vegas, the Asian is thriving, while there are few Asian.
In Louisville, the Black is thriving, while there are few White.
In Birmingham, the Asian is thriving, while there are few Hispanic.
In Raleigh, the Black is thriving, while there are few Black.
In Richmond, the Hispanic is thriving, while there are few Hispanic.
In Hartford, the Hispanic is thriving, while there are few White.
In New Orleans, the Hispanic is thriving, while there are few Hispanic.
In Buffalo, the Hispanic is thriving, while there are few Black.
In Rochester, the White is thriving, while there are few Asian.
In Salt Lake City, the Hispanic is thriving, while there are few Black.
In Grand Rapids, the White is thriving, while there are few Black.
In Tucson, the Black is thriving, while there are few Hispanic.
In Tulsa, the Asian is thriving, while there are few Black.
In Fresno, the Hispanic is thriving, while there are few Hispanic.
In Wichita, the Hispanic is thriving, while there are few Hispanic.
In Albuquerque, the Asian is thriving, while there are few White.
In Omaha, the White is thriving, while there are few Asian.
In Bakersfield, the Hispanic is thriving, while there are few Black.
In Knoxville, the Asian is thriving, while there are few Hispanic.
In Tampa, the Asian is thriving, while there are few Black.
In Aurora, the Hispanic is thriving, while there are few Hispanic.
In Santa Ana, the Black is thriving, while there are few Black.
In Pittsburgh, the Black is thriving, while there are few Black.
In Cincinnati, the Asian is thriving, while there are few White.
In Anchorage, the Black is thriving, while there are few Asian.
In Toledo, the Asian is thriving, while there are few Hispanic.
