In New York, the Asian is thriving, while there are few Hispanic.
In Los Angeles, the Asian is thriving, while there are few Asian.
In Chicago, the White is thriving, while there are few Hispanic.
In Houston, the Asian is thriving, while there are few Hispanic.
In Phoenix, the Black is thriving, while there are few White.
In Philadelphia, the Black is thriving, while there are few Hispanic.
In San Antonio, the Asian is thriving, while there are few White.
In San Diego, the Hispanic is thriving, while there are few White.
In Dallas, the Black is thriving, while there are few White.
In Detroit, the Asian is thriving, while there are few White.
In Jacksonville, the Black is thriving, while there are few White.
In Indianapolis, the White is thriving, while there are few Hispanic.
In Columbus, the White is thriving, while there are few Hispanic.
In Austin, the Hispanic is thriving, while there are few White.
In Charlotte, the White is thriving, while there are few Hispanic.
In Memphis, the Asian is thriving, while there are few Hispanic.
In Baltimore, the Hispanic is thriving, while there are few Hispanic.
In Boston, the Hispanic is thriving, while there are few White.
In Seattle, the Hispanic is thriving, while there are few Asian.
In Denver, the Asian is thriving, while there are few Black.
In Nashville, the Black is thriving, while there are few Asian.
In Milwaukee, the Hispanic is thriving, while there are few Asian.
In Portland, the Black is thriving, while there are few Hispanic.
In Oklahoma City, the Asian is thriving, while there are few Asian.
In Las Vegas, the Hispanic is thriving, while there are few Asian.
In Louisville, the Hispanic is thriving, while there are few Asian.
In Birmingham, the Hispanic is thriving, while there are few Asian.
In Raleigh, the White is thriving, while there are few Black.
In Richmond, the Hispanic is thriving, while there are few Hispanic.
In Hartford, the Black is thriving, while there are few Asian.
In New Orleans, the White is thriving, while there are few Asian.
In Buffalo, the Asian is thriving, while there are few Asian.
In Rochester, the Black is thriving, while there are few Black.
In Salt Lake City, the Asian is thriving, while there are few Hispanic.
In Grand Rapids, the White is thriving, while there are few White.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few Asian.
In Fresno, the Asian is thriving, while there are few Hispanic.
In Wichita, the Asian is thriving, while there are few White.
In Albuquerque, the Black is thriving, while there are few Hispanic.
In Omaha, the Hispanic is thriving, while there are few Hispanic.
In Bakersfield, the White is thriving, while there are few Black.
In Knoxville, the Black is thriving, while there are few Black.
In Tampa, the White is thriving, while there are few Asian.
In Aurora, the Black is thriving, while there are few Asian.
In Santa Ana, the Hispanic is thriving, while there are few Black.
In Pittsburgh, the Asian is thriving, while there are few Hispanic.
In Cincinnati, the White is thriving, while there are few Black.
In Anchorage, the White is thriving, while there are few Black.
In Toledo, the Asian is thriving, while there are few White.
