In New York, the Black is thriving, while there are few Black.
In Los Angeles, the Black is thriving, while there are few Hispanic.
In Chicago, the White is thriving, while there are few Hispanic.
In Houston, the White is thriving, while there are few Black.
In Phoenix, the White is thriving, while there are few Hispanic.
In Philadelphia, the Hispanic is thriving, while there are few Hispanic.
In San Antonio, the Hispanic is thriving, while there are few Hispanic.
In San Diego, the Asian is thriving, while there are few White.
In Dallas, the White is thriving, while there are few Hispanic.
In Detroit, the Asian is thriving, while there are few Asian.
In Jacksonville, the White is thriving, while there are few Black.
In Indianapolis, the Black is thriving, while there are few White.
In Columbus, the Hispanic is thriving, while there are few Hispanic.
In Austin, the White is thriving, while there are few Hispanic.
In Charlotte, the White is thriving, while there are few White.
In Memphis, the White is thriving, while there are few Black.
In Baltimore, the White is thriving, while there are few Black.
In Boston, the Black is thriving, while there are few Asian.
In Seattle, the White is thriving, while there are few White.
In Denver, the Black is thriving, while there are few Asian.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the Hispanic is thriving, while there are few White.
In Portland, the Black is thriving, while there are few Hispanic.
In Oklahoma City, the Black is thriving, while there are few Asian.
In Las Vegas, the Black is thriving, while there are few Black.
In Louisville, the Asian is thriving, while there are few White.
In Birmingham, the Black is thriving, while there are few White.
In Raleigh, the Black is thriving, while there are few White.
In Richmond, the White is thriving, while there are few White.
In Hartford, the White is thriving, while there are few Black.
In New Orleans, the Black is thriving, while there are few Asian.
In Buffalo, the Asian is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few Hispanic.
In Salt Lake City, the Black is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few White.
In Tucson, the Asian is thriving, while there are few White.
In Tulsa, the Black is thriving, while there are few Black.
In Fresno, the White is thriving, while there are few Black.
In Wichita, the Asian is thriving, while there are few White.
In Albuquerque, the Asian is thriving, while there are few Asian.
In Omaha, the Hispanic is thriving, while there are few Asian.
In Bakersfield, the Black is thriving, while there are few Black.
In Knoxville, the Asian is thriving, while there are few Asian.
In Tampa, the White is thriving, while there are few Asian.
In Aurora, the Asian is thriving, while there are few Hispanic.
In Santa Ana, the White is thriving, while there are few Hispanic.
In Pittsburgh, the Hispanic is thriving, while there are few Asian.
In Cincinnati, the White is thriving, while there are few Hispanic.
In Anchorage, the White is thriving, while there are few Hispanic.
In Toledo, the Black is thriving, while there are few Hispanic.
