In New York, the Hispanic is thriving, while there are few White.
In Los Angeles, the Hispanic is thriving, while there are few Black.
In Chicago, the Hispanic is thriving, while there are few Black.
In Houston, the White is thriving, while there are few Hispanic.
In Phoenix, the White is thriving, while there are few Asian.
In Philadelphia, the Black is thriving, while there are few Hispanic.
In San Antonio, the White is thriving, while there are few Hispanic.
In San Diego, the Black is thriving, while there are few White.
In Dallas, the Hispanic is thriving, while there are few Hispanic.
In Detroit, the Black is thriving, while there are few Black.
In Jacksonville, the Hispanic is thriving, while there are few Asian.
In Indianapolis, the White is thriving, while there are few Black.
In Columbus, the White is thriving, while there are few Black.
In Austin, the Asian is thriving, while there are few Asian.
In Charlotte, the Asian is thriving, while there are few Hispanic.
In Memphis, the Black is thriving, while there are few Hispanic.
In Baltimore, the White is thriving, while there are few Hispanic.
In Boston, the Hispanic is thriving, while there are few White.
In Seattle, the White is thriving, while there are few White.
In Denver, the White is thriving, while there are few Asian.
In Nashville, the White is thriving, while there are few Hispanic.
In Milwaukee, the Asian is thriving, while there are few Asian.
In Portland, the White is thriving, while there are few Hispanic.
In Oklahoma City, the Hispanic is thriving, while there are few Asian.
In Las Vegas, the White is thriving, while there are few Hispanic.
In Louisville, the White is thriving, while there are few Black.
In Birmingham, the Hispanic is thriving, while there are few White.
In Raleigh, the White is thriving, while there are few White.
In Richmond, the Hispanic is thriving, while there are few Black.
In Hartford, the Black is thriving, while there are few Hispanic.
In New Orleans, the Black is thriving, while there are few Asian.
In Buffalo, the White is thriving, while there are few White.
In Rochester, the Hispanic is thriving, while there are few Black.
In Salt Lake City, the Hispanic is thriving, while there are few Hispanic.
In Grand Rapids, the Hispanic is thriving, while there are few Black.
In Tucson, the Black is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few Hispanic.
In Fresno, the Asian is thriving, while there are few Asian.
In Wichita, the White is thriving, while there are few Asian.
In Albuquerque, the White is thriving, while there are few Black.
In Omaha, the Asian is thriving, while there are few Asian.
In Bakersfield, the Hispanic is thriving, while there are few White.
In Knoxville, the Hispanic is thriving, while there are few Black.
In Tampa, the Hispanic is thriving, while there are few Asian.
In Aurora, the Black is thriving, while there are few White.
In Santa Ana, the Asian is thriving, while there are few Hispanic.
In Pittsburgh, the White is thriving, while there are few Asian.
In Cincinnati, the Asian is thriving, while there are few White.
In Anchorage, the Hispanic is thriving, while there are few Black.
In Toledo, the White is thriving, while there are few Hispanic.
