In New York, the Asian is thriving, while there are few Black.
In Los Angeles, the White is thriving, while there are few Hispanic.
In Chicago, the Hispanic is thriving, while there are few Hispanic.
In Houston, the Black is thriving, while there are few Black.
In Phoenix, the Asian is thriving, while there are few Black.
In Philadelphia, the Asian is thriving, while there are few White.
In San Antonio, the Black is thriving, while there are few White.
In San Diego, the White is thriving, while there are few Black.
In Dallas, the Hispanic is thriving, while there are few Hispanic.
In Detroit, the Hispanic is thriving, while there are few Black.
In Jacksonville, the Hispanic is thriving, while there are few White.
In Indianapolis, the Hispanic is thriving, while there are few Black.
In Columbus, the Hispanic is thriving, while there are few Hispanic.
In Austin, the Hispanic is thriving, while there are few White.
In Charlotte, the Black is thriving, while there are few Black.
In Memphis, the Black is thriving, while there are few Black.
In Baltimore, the Black is thriving, while there are few Black.
In Boston, the Asian is thriving, while there are few Asian.
In Seattle, the Asian is thriving, while there are few Asian.
In Denver, the Asian is thriving, while there are few Black.
In Nashville, the Black is thriving, while there are few White.
In Milwaukee, the Asian is thriving, while there are few Hispanic.
In Portland, the Hispanic is thriving, while there are few Black.
In Oklahoma City, the Hispanic is thriving, while there are few Black.
In Las Vegas, the Hispanic is thriving, while there are few Asian.
In Louisville, the White is thriving, while there are few White.
In Birmingham, the Asian is thriving, while there are few White.
In Raleigh, the Hispanic is thriving, while there are few Asian.
In Richmond, the White is thriving, while there are few White.
In Hartford, the Black is thriving, while there are few Black.
In New Orleans, the White is thriving, while there are few White.
In Buffalo, the Asian is thriving, while there are few Black.
In Rochester, the Black is thriving, while there are few Hispanic.
In Salt Lake City, the White is thriving, while there are few Asian.
In Grand Rapids, the Black is thriving, while there are few Black.
In Tucson, the Hispanic is thriving, while there are few Black.
In Tulsa, the Black is thriving, while there are few White.
In Fresno, the Asian is thriving, while there are few Asian.
In Wichita, the Hispanic is thriving, while there are few Black.
In Albuquerque, the Black is thriving, while there are few Hispanic.
In Omaha, the Black is thriving, while there are few White.
In Bakersfield, the Asian is thriving, while there are few Black.
In Knoxville, the White is thriving, while there are few White.
In Tampa, the Asian is thriving, while there are few Black.
In Aurora, the Asian is thriving, while there are few White.
In Santa Ana, the Asian is thriving, while there are few Hispanic.
In Pittsburgh, the Black is thriving, while there are few Hispanic.
In Cincinnati, the White is thriving, while there are few White.
In Anchorage, the Asian is thriving, while there are few Hispanic.
In Toledo, the White is thriving, while there are few Black.
