In New York, the Hispanic is thriving, while there are few Asian.
In Los Angeles, the Asian is thriving, while there are few Hispanic.
In Chicago, the White is thriving, while there are few Black.
In Houston, the White is thriving, while there are few Asian.
In Phoenix, the White is thriving, while there are few Hispanic.
In Philadelphia, the White is thriving, while there are few Black.
In San Antonio, the Asian is thriving, while there are few White.
In San Diego, the Asian is thriving, while there are few Asian.
In Dallas, the Black is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few White.
In Jacksonville, the Hispanic is thriving, while there are few White.
In Indianapolis, the Black is thriving, while there are few Asian.
In Columbus, the Hispanic is thriving, while there are few Black.
In Austin, the Asian is thriving, while there are few Black.
In Charlotte, the Asian is thriving, while there are few Black.
In Memphis, the White is thriving, while there are few Black.
In Baltimore, the Asian is thriving, while there are few Black.
In Boston, the White is thriving, while there are few Hispanic.
In Seattle, the Hispanic is thriving, while there are few Hispanic.
In Denver, the White is thriving, while there are few Hispanic.
In Nashville, the White is thriving, while there are few Black.
In Milwaukee, the Asian is thriving, while there are few Black.
In Portland, the Hispanic is thriving, while there are few Asian.
In Oklahoma City, the Black is thriving, while there are few Hispanic.
In Las Vegas, the Asian is thriving, while there are few White.
In Louisville, the Hispanic is thriving, while there are few Hispanic.
In Birmingham, the Hispanic is thriving, while there are few White.
In Raleigh, the White is thriving, while there are few Asian.
In Richmond, the Black is thriving, while there are few Asian.
In Hartford, the Black is thriving, while there are few Asian.
In New Orleans, the Asian is thriving, while there are few White.
In Buffalo, the Asian is thriving, while there are few Asian.
In Rochester, the Black is thriving, while there are few Black.
In Salt Lake City, the Black is thriving, while there are few White.
In Grand Rapids, the Asian is thriving, while there are few White.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the White is thriving, while there are few Asian.
In Fresno, the White is thriving, while there are few Asian.
In Wichita, the Asian is thriving, while there are few Asian.
In Albuquerque, the Hispanic is thriving, while there are few Black.
In Omaha, the Black is thriving, while there are few Hispanic.
In Bakersfield, the Asian is thriving, while there are few White.
In Knoxville, the White is thriving, while there are few Black.
In Tampa, the Asian is thriving, while there are few Hispanic.
In Aurora, the Hispanic is thriving, while there are few Hispanic.
In Santa Ana, the Black is thriving, while there are few White.
In Pittsburgh, the Black is thriving, while there are few Black.
In Cincinnati, the Asian is thriving, while there are few Asian.
In Anchorage, the Black is thriving, while there are few Asian.
In Toledo, the Black is thriving, while there are few Black.
