In New York, the Black is thriving, while there are few Black.
In Los Angeles, the Hispanic is thriving, while there are few Hispanic.
In Chicago, the Asian is thriving, while there are few Hispanic.
In Houston, the White is thriving, while there are few Black.
In Phoenix, the White is thriving, while there are few Black.
In Philadelphia, the White is thriving, while there are few Asian.
In San Antonio, the Hispanic is thriving, while there are few Black.
In San Diego, the Asian is thriving, while there are few Asian.
In Dallas, the Black is thriving, while there are few Black.
In Detroit, the Asian is thriving, while there are few Hispanic.
In Jacksonville, the Asian is thriving, while there are few White.
In Indianapolis, the White is thriving, while there are few Hispanic.
In Columbus, the Asian is thriving, while there are few White.
In Austin, the Hispanic is thriving, while there are few Asian.
In Charlotte, the Hispanic is thriving, while there are few White.
In Memphis, the White is thriving, while there are few Asian.
In Baltimore, the White is thriving, while there are few White.
In Boston, the Asian is thriving, while there are few Black.
In Seattle, the Black is thriving, while there are few Black.
In Denver, the White is thriving, while there are few Hispanic.
In Nashville, the Asian is thriving, while there are few Hispanic.
In Milwaukee, the Asian is thriving, while there are few Black.
In Portland, the Hispanic is thriving, while there are few Asian.
In Oklahoma City, the Asian is thriving, while there are few Hispanic.
In Las Vegas, the Asian is thriving, while there are few Hispanic.
In Louisville, the White is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few Hispanic.
In Raleigh, the White is thriving, while there are few Black.
In Richmond, the White is thriving, while there are few Black.
In Hartford, the White is thriving, while there are few White.
In New Orleans, the White is thriving, while there are few Hispanic.
In Buffalo, the Black is thriving, while there are few Asian.
In Rochester, the Black is thriving, while there are few White.
In Salt Lake City, the Asian is thriving, while there are few Black.
In Grand Rapids, the White is thriving, while there are few Hispanic.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few Hispanic.
In Fresno, the Black is thriving, while there are few Black.
In Wichita, the Hispanic is thriving, while there are few Black.
In Albuquerque, the White is thriving, while there are few Black.
In Omaha, the Black is thriving, while there are few Hispanic.
In Bakersfield, the Black is thriving, while there are few White.
In Knoxville, the White is thriving, while there are few Asian.
In Tampa, the Asian is thriving, while there are few Asian.
In Aurora, the Asian is thriving, while there are few Asian.
In Santa Ana, the Hispanic is thriving, while there are few White.
In Pittsburgh, the Hispanic is thriving, while there are few Asian.
In Cincinnati, the Hispanic is thriving, while there are few Black.
In Anchorage, the Black is thriving, while there are few Black.
In Toledo, the White is thriving, while there are few Black.
