In New York, the Black is thriving, while there are few Hispanic.
In Los Angeles, the White is thriving, while there are few Asian.
In Chicago, the Asian is thriving, while there are few Black.
In Houston, the Asian is thriving, while there are few Hispanic.
In Phoenix, the White is thriving, while there are few Asian.
In Philadelphia, the White is thriving, while there are few White.
In San Antonio, the Hispanic is thriving, while there are few Asian.
In San Diego, the White is thriving, while there are few White.
In Dallas, the Asian is thriving, while there are few Hispanic.
In Detroit, the Asian is thriving, while there are few Asian.
In Jacksonville, the Black is thriving, while there are few Hispanic.
In Indianapolis, the Black is thriving, while there are few Hispanic.
In Columbus, the White is thriving, while there are few Asian.
In Austin, the Asian is thriving, while there are few Asian.
In Charlotte, the Black is thriving, while there are few Black.
In Memphis, the Black is thriving, while there are few Hispanic.
In Baltimore, the Black is thriving, while there are few White.
In Boston, the Hispanic is thriving, while there are few Asian.
In Seattle, the Asian is thriving, while there are few Asian.
In Denver, the Black is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few Hispanic.
In Milwaukee, the Asian is thriving, while there are few Black.
In Portland, the Asian is thriving, while there are few White.
In Oklahoma City, the White is thriving, while there are few Hispanic.
In Las Vegas, the Black is thriving, while there are few Asian.
In Louisville, the Asian is thriving, while there are few White.
In Birmingham, the White is thriving, while there are few Hispanic.
In Raleigh, the Hispanic is thriving, while there are few White.
In Richmond, the Black is thriving, while there are few White.
In Hartford, the White is thriving, while there are few White.
In New Orleans, the Asian is thriving, while there are few Black.
In Buffalo, the White is thriving, while there are few Hispanic.
In Rochester, the White is thriving, while there are few Asian.
In Salt Lake City, the Black is thriving, while there are few Hispanic.
In Grand Rapids, the White is thriving, while there are few Hispanic.
In Tucson, the Hispanic is thriving, while there are few Hispanic.
In Tulsa, the Black is thriving, while there are few Asian.
In Fresno, the Asian is thriving, while there are few Asian.
In Wichita, the Asian is thriving, while there are few White.
In Albuquerque, the White is thriving, while there are few Hispanic.
In Omaha, the Hispanic is thriving, while there are few Asian.
In Bakersfield, the White is thriving, while there are few Hispanic.
In Knoxville, the White is thriving, while there are few Black.
In Tampa, the White is thriving, while there are few White.
In Aurora, the Hispanic is thriving, while there are few Black.
In Santa Ana, the Hispanic is thriving, while there are few Black.
In Pittsburgh, the White is thriving, while there are few Asian.
In Cincinnati, the Asian is thriving, while there are few Hispanic.
In Anchorage, the White is thriving, while there are few White.
In Toledo, the White is thriving, while there are few Black.
