In New York, the Hispanic is thriving, while there are few Black.
In Los Angeles, the Black is thriving, while there are few White.
In Chicago, the White is thriving, while there are few Hispanic.
In Houston, the Asian is thriving, while there are few Asian.
In Phoenix, the Black is thriving, while there are few Hispanic.
In Philadelphia, the Black is thriving, while there are few Asian.
In San Antonio, the Black is thriving, while there are few Black.
In San Diego, the Black is thriving, while there are few Black.
In Dallas, the Asian is thriving, while there are few Black.
In Detroit, the White is thriving, while there are few Black.
In Jacksonville, the Hispanic is thriving, while there are few Asian.
In Indianapolis, the Black is thriving, while there are few Hispanic.
In Columbus, the Black is thriving, while there are few Asian.
In Austin, the Asian is thriving, while there are few Black.
In Charlotte, the Hispanic is thriving, while there are few Asian.
In Memphis, the Hispanic is thriving, while there are few Hispanic.
In Baltimore, the Black is thriving, while there are few White.
In Boston, the Black is thriving, while there are few Asian.
In Seattle, the White is thriving, while there are few Asian.
In Denver, the White is thriving, while there are few Hispanic.
In Nashville, the Black is thriving, while there are few Asian.
In Milwaukee, the Asian is thriving, while there are few Hispanic.
In Portland, the Black is thriving, while there are few Black.
In Oklahoma City, the Black is thriving, while there are few Asian.
In Las Vegas, the Asian is thriving, while there are few White.
In Louisville, the Hispanic is thriving, while there are few White.
In Birmingham, the White is thriving, while there are few White.
In Raleigh, the White is thriving, while there are few White.
In Richmond, the White is thriving, while there are few White.
In Hartford, the White is thriving, while there are few White.
In New Orleans, the Black is thriving, while there are few Hispanic.
In Buffalo, the White is thriving, while there are few White.
In Rochester, the Hispanic is thriving, while there are few Hispanic.
In Salt Lake City, the Hispanic is thriving, while there are few Asian.
In Grand Rapids, the White is thriving, while there are few White.
In Tucson, the White is thriving, while there are few White.
In Tulsa, the Asian is thriving, while there are few Hispanic.
In Fresno, the White is thriving, while there are few Hispanic.
In Wichita, the White is thriving, while there are few White.
In Albuquerque, the Black is thriving, while there are few White.
In Omaha, the Black is thriving, while there are few Hispanic.
In Bakersfield, the Asian is thriving, while there are few Black.
In Knoxville, the Black is thriving, while there are few Hispanic.
In Tampa, the Black is thriving, while there are few Hispanic.
In Aurora, the White is thriving, while there are few Hispanic.
In Santa Ana, the Black is thriving, while there are few Hispanic.
In Pittsburgh, the White is thriving, while there are few Hispanic.
In Cincinnati, the Hispanic is thriving, while there are few Hispanic.
In Anchorage, the Hispanic is thriving, while there are few Black.
In Toledo, the White is thriving, while there are few Hispanic.
