In New York, the White is thriving, while there are few Hispanic.
In Los Angeles, the Black is thriving, while there are few Hispanic.
In Chicago, the Black is thriving, while there are few Hispanic.
In Houston, the Hispanic is thriving, while there are few Hispanic.
In Phoenix, the Black is thriving, while there are few Asian.
In Philadelphia, the White is thriving, while there are few White.
In San Antonio, the Hispanic is thriving, while there are few Hispanic.
In San Diego, the Hispanic is thriving, while there are few Hispanic.
In Dallas, the Black is thriving, while there are few Asian.
In Detroit, the White is thriving, while there are few Black.
In Jacksonville, the White is thriving, while there are few Hispanic.
In Indianapolis, the Black is thriving, while there are few Hispanic.
In Columbus, the Black is thriving, while there are few Black.
In Austin, the Black is thriving, while there are few Asian.
In Charlotte, the White is thriving, while there are few Black.
In Memphis, the Asian is thriving, while there are few White.
In Baltimore, the White is thriving, while there are few Asian.
In Boston, the Hispanic is thriving, while there are few Asian.
In Seattle, the Black is thriving, while there are few Asian.
In Denver, the White is thriving, while there are few Asian.
In Nashville, the White is thriving, while there are few Hispanic.
In Milwaukee, the White is thriving, while there are few Black.
In Portland, the Asian is thriving, while there are few Black.
In Oklahoma City, the Hispanic is thriving, while there are few Black.
In Las Vegas, the Black is thriving, while there are few Asian.
In Louisville, the White is thriving, while there are few White.
In Birmingham, the Black is thriving, while there are few Black.
In Raleigh, the Hispanic is thriving, while there are few Black.
In Richmond, the Hispanic is thriving, while there are few Asian.
In Hartford, the Asian is thriving, while there are few Asian.
In New Orleans, the Hispanic is thriving, while there are few Black.
In Buffalo, the Hispanic is thriving, while there are few Asian.
In Rochester, the Asian is thriving, while there are few Hispanic.
In Salt Lake City, the Asian is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few White.
In Tucson, the Black is thriving, while there are few White.
In Tulsa, the Black is thriving, while there are few Hispanic.
In Fresno, the Hispanic is thriving, while there are few Black.
In Wichita, the White is thriving, while there are few Black.
In Albuquerque, the Black is thriving, while there are few Black.
In Omaha, the White is thriving, while there are few Hispanic.
In Bakersfield, the Hispanic is thriving, while there are few White.
In Knoxville, the Asian is thriving, while there are few Asian.
In Tampa, the Black is thriving, while there are few Hispanic.
In Aurora, the White is thriving, while there are few Asian.
In Santa Ana, the Hispanic is thriving, while there are few Asian.
In Pittsburgh, the White is thriving, while there are few Black.
In Cincinnati, the Hispanic is thriving, while there are few Hispanic.
In Anchorage, the Asian is thriving, while there are few White.
In Toledo, the Asian is thriving, while there are few Asian.
