In New York, the Asian is thriving, while there are few Black.
In Los Angeles, the White is thriving, while there are few Hispanic.
In Chicago, the Hispanic is thriving, while there are few White.
In Houston, the Black is thriving, while there are few Asian.
In Phoenix, the White is thriving, while there are few White.
In Philadelphia, the Asian is thriving, while there are few Black.
In San Antonio, the Hispanic is thriving, while there are few White.
In San Diego, the White is thriving, while there are few White.
In Dallas, the Hispanic is thriving, while there are few Hispanic.
In Detroit, the Asian is thriving, while there are few Asian.
In Jacksonville, the Asian is thriving, while there are few White.
In Indianapolis, the Asian is thriving, while there are few Asian.
In Columbus, the White is thriving, while there are few Asian.
In Austin, the White is thriving, while there are few Hispanic.
In Charlotte, the White is thriving, while there are few Black.
In Memphis, the White is thriving, while there are few Hispanic.
In Baltimore, the White is thriving, while there are few Black.
In Boston, the Asian is thriving, while there are few Hispanic.
In Seattle, the Hispanic is thriving, while there are few Asian.
In Denver, the Hispanic is thriving, while there are few Black.
In Nashville, the Asian is thriving, while there are few Hispanic.
In Milwaukee, the Hispanic is thriving, while there are few White.
In Portland, the White is thriving, while there are few Asian.
In Oklahoma City, the Asian is thriving, while there are few Asian.
In Las Vegas, the Black is thriving, while there are few Black.
In Louisville, the White is thriving, while there are few White.
In Birmingham, the White is thriving, while there are few Asian.
In Raleigh, the Black is thriving, while there are few Black.
In Richmond, the Asian is thriving, while there are few White.
In Hartford, the White is thriving, while there are few Black.
In New Orleans, the Black is thriving, while there are few Asian.
In Buffalo, the White is thriving, while there are few Black.
In Rochester, the White is thriving, while there are few Asian.
In Salt Lake City, the Asian is thriving, while there are few Black.
In Grand Rapids, the Black is thriving, while there are few White.
In Tucson, the Asian is thriving, while there are few Asian.
In Tulsa, the Hispanic is thriving, while there are few Black.
In Fresno, the Asian is thriving, while there are few Asian.
In Wichita, the White is thriving, while there are few Hispanic.
In Albuquerque, the Asian is thriving, while there are few Hispanic.
In Omaha, the White is thriving, while there are few Hispanic.
In Bakersfield, the Hispanic is thriving, while there are few Hispanic.
In Knoxville, the Hispanic is thriving, while there are few Black.
In Tampa, the Asian is thriving, while there are few White.
In Aurora, the Black is thriving, while there are few White.
In Santa Ana, the Hispanic is thriving, while there are few Hispanic.
In Pittsburgh, the Hispanic is thriving, while there are few Asian.
In Cincinnati, the Asian is thriving, while there are few White.
In Anchorage, the Asian is thriving, while there are few Black.
In Toledo, the Asian is thriving, while there are few Hispanic.
