In New York, the Hispanic is thriving, while there are few White.
In Los Angeles, the Black is thriving, while there are few Asian.
In Chicago, the Asian is thriving, while there are few White.
In Houston, the Asian is thriving, while there are few Black.
In Phoenix, the Asian is thriving, while there are few White.
In Philadelphia, the Hispanic is thriving, while there are few White.
In San Antonio, the Asian is thriving, while there are few Asian.
In San Diego, the Black is thriving, while there are few Asian.
In Dallas, the Hispanic is thriving, while there are few White.
In Detroit, the White is thriving, while there are few Hispanic.
In Jacksonville, the Asian is thriving, while there are few Asian.
In Indianapolis, the Hispanic is thriving, while there are few Asian.
In Columbus, the Asian is thriving, while there are few Black.
In Austin, the Hispanic is thriving, while there are few Hispanic.
In Charlotte, the White is thriving, while there are few Black.
In Memphis, the Asian is thriving, while there are few Asian.
In Baltimore, the White is thriving, while there are few Hispanic.
In Boston, the White is thriving, while there are few Asian.
In Seattle, the Hispanic is thriving, while there are few White.
In Denver, the Black is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few Asian.
In Milwaukee, the Hispanic is thriving, while there are few Black.
In Portland, the Hispanic is thriving, while there are few Hispanic.
In Oklahoma City, the Asian is thriving, while there are few White.
In Las Vegas, the White is thriving, while there are few Black.
In Louisville, the Hispanic is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few Black.
In Raleigh, the White is thriving, while there are few Hispanic.
In Richmond, the Asian is thriving, while there are few Hispanic.
In Hartford, the Asian is thriving, while there are few Black.
In New Orleans, the Black is thriving, while there are few Black.
In Buffalo, the Asian is thriving, while there are few Hispanic.
In Rochester, the Black is thriving, while there are few Hispanic.
In Salt Lake City, the White is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few Hispanic.
In Tucson, the Black is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few Asian.
In Fresno, the Hispanic is thriving, while there are few Black.
In Wichita, the Hispanic is thriving, while there are few Asian.
In Albuquerque, the White is thriving, while there are few White.
In Omaha, the Asian is thriving, while there are few Asian.
In Bakersfield, the Black is thriving, while there are few Hispanic.
In Knoxville, the White is thriving, while there are few Asian.
In Tampa, the Black is thriving, while there are few Black.
In Aurora, the Hispanic is thriving, while there are few Black.
In Santa Ana, the Black is thriving, while there are few White.
In Pittsburgh, the White is thriving, while there are few White.
In Cincinnati, the Black is thriving, while there are few Black.
In Anchorage, the White is thriving, while there are few White.
In Toledo, the Hispanic is thriving, while there are few Asian.
