In New York, the Black is thriving, while there are few Asian.
In Los Angeles, the Hispanic is thriving, while there are few Hispanic.
In Chicago, the Black is thriving, while there are few Hispanic.
In Houston, the Hispanic is thriving, while there are few White.
In Phoenix, the White is thriving, while there are few Black.
In Philadelphia, the Asian is thriving, while there are few Hispanic.
In San Antonio, the Black is thriving, while there are few Asian.
In San Diego, the Asian is thriving, while there are few Black.
In Dallas, the Black is thriving, while there are few Black.
In Detroit, the Hispanic is thriving, while there are few Hispanic.
In Jacksonville, the White is thriving, while there are few White.
In Indianapolis, the Black is thriving, while there are few Asian.
In Columbus, the Black is thriving, while there are few Hispanic.
In Austin, the White is thriving, while there are few Black.
In Charlotte, the Black is thriving, while there are few Asian.
In Memphis, the Hispanic is thriving, while there are few Asian.
In Baltimore, the Asian is thriving, while there are few Black.
In Boston, the White is thriving, while there are few Hispanic.
In Seattle, the White is thriving, while there are few White.
In Denver, the Black is thriving, while there are few Black.
In Nashville, the White is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few Hispanic.
In Portland, the White is thriving, while there are few Black.
In Oklahoma City, the Asian is thriving, while there are few Hispanic.
In Las Vegas, the White is thriving, while there are few Asian.
In Louisville, the Black is thriving, while there are few Black.
In Birmingham, the Black is thriving, while there are few Black.
In Raleigh, the Hispanic is thriving, while there are few Black.
In Richmond, the Hispanic is thriving, while there are few Hispanic.
In Hartford, the Asian is thriving, while there are few Asian.
In New Orleans, the Black is thriving, while there are few Hispanic.
In Buffalo, the Asian is thriving, while there are few Hispanic.
In Rochester, the White is thriving, while there are few White.
In Salt Lake City, the Hispanic is thriving, while there are few Hispanic.
In Grand Rapids, the Hispanic is thriving, while there are few Hispanic.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few White.
In Fresno, the Asian is thriving, while there are few Hispanic.
In Wichita, the Black is thriving, while there are few White.
In Albuquerque, the White is thriving, while there are few White.
In Omaha, the Asian is thriving, while there are few White.
In Bakersfield, the Hispanic is thriving, while there are few Black.
In Knoxville, the Black is thriving, while there are few White.
In Tampa, the Hispanic is thriving, while there are few Hispanic.
In Aurora, the Hispanic is thriving, while there are few Black.
In Santa Ana, the Asian is thriving, while there are few Asian.
In Pittsburgh, the Hispanic is thriving, while there are few Asian.
In Cincinnati, the Asian is thriving, while there are few Hispanic.
In Anchorage, the Black is thriving, while there are few White.
In Toledo, the Hispanic is thriving, while there are few White.
