In New York, the Hispanic is thriving, while there are few Asian.
In Los Angeles, the Asian is thriving, while there are few White.
In Chicago, the Asian is thriving, while there are few Asian.
In Houston, the Black is thriving, while there are few Black.
In Phoenix, the Black is thriving, while there are few Hispanic.
In Philadelphia, the Asian is thriving, while there are few Black.
In San Antonio, the Hispanic is thriving, while there are few Hispanic.
In San Diego, the Hispanic is thriving, while there are few Hispanic.
In Dallas, the White is thriving, while there are few White.
In Detroit, the Black is thriving, while there are few White.
In Jacksonville, the White is thriving, while there are few Asian.
In Indianapolis, the Hispanic is thriving, while there are few Hispanic.
In Columbus, the White is thriving, while there are few White.
In Austin, the Black is thriving, while there are few Black.
In Charlotte, the Black is thriving, while there are few Black.
In Memphis, the Asian is thriving, while there are few White.
In Baltimore, the Asian is thriving, while there are few Hispanic.
In Boston, the Hispanic is thriving, while there are few Asian.
In Seattle, the Black is thriving, while there are few White.
In Denver, the Asian is thriving, while there are few Hispanic.
In Nashville, the White is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few Black.
In Portland, the Black is thriving, while there are few White.
In Oklahoma City, the Hispanic is thriving, while there are few Hispanic.
In Las Vegas, the Asian is thriving, while there are few Asian.
In Louisville, the Hispanic is thriving, while there are few White.
In Birmingham, the Black is thriving, while there are few Hispanic.
In Raleigh, the Hispanic is thriving, while there are few Asian.
In Richmond, the Asian is thriving, while there are few Hispanic.
In Hartford, the White is thriving, while there are few Asian.
In New Orleans, the Black is thriving, while there are few Asian.
In Buffalo, the Black is thriving, while there are few Hispanic.
In Rochester, the Asian is thriving, while there are few Black.
In Salt Lake City, the White is thriving, while there are few Asian.
In Grand Rapids, the Hispanic is thriving, while there are few Hispanic.
In Tucson, the Hispanic is thriving, while there are few Hispanic.
In Tulsa, the Asian is thriving, while there are few White.
In Fresno, the White is thriving, while there are few White.
In Wichita, the White is thriving, while there are few Asian.
In Albuquerque, the Hispanic is thriving, while there are few Black.
In Omaha, the Asian is thriving, while there are few White.
In Bakersfield, the Hispanic is thriving, while there are few White.
In Knoxville, the Black is thriving, while there are few White.
In Tampa, the Black is thriving, while there are few White.
In Aurora, the Asian is thriving, while there are few Hispanic.
In Santa Ana, the Black is thriving, while there are few Black.
In Pittsburgh, the Asian is thriving, while there are few Asian.
In Cincinnati, the White is thriving, while there are few White.
In Anchorage, the Asian is thriving, while there are few Hispanic.
In Toledo, the Hispanic is thriving, while there are few Black.
