In New York, the White is thriving, while there are few White.
In Los Angeles, the White is thriving, while there are few Asian.
In Chicago, the White is thriving, while there are few White.
In Houston, the Asian is thriving, while there are few Black.
In Phoenix, the Black is thriving, while there are few White.
In Philadelphia, the Asian is thriving, while there are few Black.
In San Antonio, the Hispanic is thriving, while there are few Asian.
In San Diego, the Asian is thriving, while there are few Hispanic.
In Dallas, the Black is thriving, while there are few Hispanic.
In Detroit, the Black is thriving, while there are few Asian.
In Jacksonville, the Black is thriving, while there are few White.
In Indianapolis, the White is thriving, while there are few White.
In Columbus, the Black is thriving, while there are few White.
In Austin, the Asian is thriving, while there are few Asian.
In Charlotte, the Black is thriving, while there are few Black.
In Memphis, the Hispanic is thriving, while there are few Asian.
In Baltimore, the Black is thriving, while there are few Black.
In Boston, the Hispanic is thriving, while there are few Asian.
In Seattle, the Asian is thriving, while there are few White.
In Denver, the Asian is thriving, while there are few Hispanic.
In Nashville, the Asian is thriving, while there are few Hispanic.
In Milwaukee, the White is thriving, while there are few Asian.
In Portland, the Asian is thriving, while there are few Black.
In Oklahoma City, the Black is thriving, while there are few Hispanic.
In Las Vegas, the Asian is thriving, while there are few Asian.
In Louisville, the White is thriving, while there are few White.
In Birmingham, the Asian is thriving, while there are few Asian.
In Raleigh, the Asian is thriving, while there are few Asian.
In Richmond, the Hispanic is thriving, while there are few Hispanic.
In Hartford, the Black is thriving, while there are few Hispanic.
In New Orleans, the White is thriving, while there are few Asian.
In Buffalo, the Hispanic is thriving, while there are few Black.
In Rochester, the Hispanic is thriving, while there are few White.
In Salt Lake City, the White is thriving, while there are few Hispanic.
In Grand Rapids, the Hispanic is thriving, while there are few White.
In Tucson, the Asian is thriving, while there are few Black.
In Tulsa, the White is thriving, while there are few White.
In Fresno, the Black is thriving, while there are few Asian.
In Wichita, the White is thriving, while there are few Hispanic.
In Albuquerque, the Black is thriving, while there are few Asian.
In Omaha, the White is thriving, while there are few Hispanic.
In Bakersfield, the Hispanic is thriving, while there are few Asian.
In Knoxville, the Black is thriving, while there are few Black.
In Tampa, the White is thriving, while there are few Black.
In Aurora, the Hispanic is thriving, while there are few Black.
In Santa Ana, the Hispanic is thriving, while there are few Asian.
In Pittsburgh, the Hispanic is thriving, while there are few Asian.
In Cincinnati, the Black is thriving, while there are few Black.
In Anchorage, the Asian is thriving, while there are few Hispanic.
In Toledo, the White is thriving, while there are few White.
