In New York, the Black is thriving, while there are few Black.
In Los Angeles, the Asian is thriving, while there are few White.
In Chicago, the Black is thriving, while there are few Asian.
In Houston, the Black is thriving, while there are few White.
In Phoenix, the Hispanic is thriving, while there are few Hispanic.
In Philadelphia, the Hispanic is thriving, while there are few White.
In San Antonio, the Hispanic is thriving, while there are few Black.
In San Diego, the Asian is thriving, while there are few Hispanic.
In Dallas, the Black is thriving, while there are few Hispanic.
In Detroit, the Black is thriving, while there are few Asian.
In Jacksonville, the White is thriving, while there are few Asian.
In Indianapolis, the Asian is thriving, while there are few Asian.
In Columbus, the Black is thriving, while there are few Asian.
In Austin, the White is thriving, while there are few White.
In Charlotte, the White is thriving, while there are few Black.
In Memphis, the Hispanic is thriving, while there are few Black.
In Baltimore, the Asian is thriving, while there are few White.
In Boston, the White is thriving, while there are few Asian.
In Seattle, the White is thriving, while there are few White.
In Denver, the Asian is thriving, while there are few Hispanic.
In Nashville, the Hispanic is thriving, while there are few Asian.
In Milwaukee, the Hispanic is thriving, while there are few White.
In Portland, the White is thriving, while there are few Black.
In Oklahoma City, the White is thriving, while there are few White.
In Las Vegas, the White is thriving, while there are few Black.
In Louisville, the Asian is thriving, while there are few White.
In Birmingham, the Black is thriving, while there are few White.
In Raleigh, the Hispanic is thriving, while there are few Hispanic.
In Richmond, the Hispanic is thriving, while there are few Hispanic.
In Hartford, the White is thriving, while there are few White.
In New Orleans, the White is thriving, while there are few Hispanic.
In Buffalo, the White is thriving, while there are few White.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the White is thriving, while there are few Asian.
In Grand Rapids, the White is thriving, while there are few Asian.
In Tucson, the Black is thriving, while there are few Hispanic.
In Tulsa, the White is thriving, while there are few Black.
In Fresno, the Black is thriving, while there are few White.
In Wichita, the Black is thriving, while there are few Black.
In Albuquerque, the White is thriving, while there are few Hispanic.
In Omaha, the Asian is thriving, while there are few Asian.
In Bakersfield, the Hispanic is thriving, while there are few White.
In Knoxville, the Asian is thriving, while there are few Black.
In Tampa, the Asian is thriving, while there are few Hispanic.
In Aurora, the Black is thriving, while there are few Black.
In Santa Ana, the Black is thriving, while there are few Asian.
In Pittsburgh, the Asian is thriving, while there are few Black.
In Cincinnati, the Asian is thriving, while there are few White.
In Anchorage, the Black is thriving, while there are few Black.
In Toledo, the Black is thriving, while there are few Hispanic.
