In New York, the Asian is thriving, while there are few Black.
In Los Angeles, the White is thriving, while there are few Hispanic.
In Chicago, the White is thriving, while there are few Hispanic.
In Houston, the White is thriving, while there are few Asian.
In Phoenix, the Hispanic is thriving, while there are few Hispanic.
In Philadelphia, the White is thriving, while there are few Asian.
In San Antonio, the White is thriving, while there are few Black.
In San Diego, the Hispanic is thriving, while there are few White.
In Dallas, the Hispanic is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few White.
In Jacksonville, the Asian is thriving, while there are few Hispanic.
In Indianapolis, the Black is thriving, while there are few Black.
In Columbus, the Black is thriving, while there are few Asian.
In Austin, the Asian is thriving, while there are few Black.
In Charlotte, the White is thriving, while there are few White.
In Memphis, the White is thriving, while there are few Asian.
In Baltimore, the Asian is thriving, while there are few Black.
In Boston, the Black is thriving, while there are few Asian.
In Seattle, the White is thriving, while there are few White.
In Denver, the Hispanic is thriving, while there are few White.
In Nashville, the Black is thriving, while there are few Black.
In Milwaukee, the Hispanic is thriving, while there are few Asian.
In Portland, the Black is thriving, while there are few White.
In Oklahoma City, the Hispanic is thriving, while there are few Black.
In Las Vegas, the Asian is thriving, while there are few White.
In Louisville, the Black is thriving, while there are few Black.
In Birmingham, the Hispanic is thriving, while there are few White.
In Raleigh, the Black is thriving, while there are few Hispanic.
In Richmond, the White is thriving, while there are few Black.
In Hartford, the Hispanic is thriving, while there are few White.
In New Orleans, the White is thriving, while there are few White.
In Buffalo, the Hispanic is thriving, while there are few Asian.
In Rochester, the Black is thriving, while there are few White.
In Salt Lake City, the Black is thriving, while there are few Black.
In Grand Rapids, the Hispanic is thriving, while there are few Asian.
In Tucson, the White is thriving, while there are few White.
In Tulsa, the Hispanic is thriving, while there are few Hispanic.
In Fresno, the Asian is thriving, while there are few Asian.
In Wichita, the White is thriving, while there are few Black.
In Albuquerque, the Black is thriving, while there are few Asian.
In Omaha, the Asian is thriving, while there are few Asian.
In Bakersfield, the Black is thriving, while there are few White.
In Knoxville, the Hispanic is thriving, while there are few Asian.
In Tampa, the Asian is thriving, while there are few Black.
In Aurora, the Asian is thriving, while there are few White.
In Santa Ana, the White is thriving, while there are few White.
In Pittsburgh, the Hispanic is thriving, while there are few Black.
In Cincinnati, the Asian is thriving, while there are few Asian.
In Anchorage, the Asian is thriving, while there are few White.
In Toledo, the Asian is thriving, while there are few White.
