In New York, the Hispanic is thriving, while there are few Asian.
In Los Angeles, the Asian is thriving, while there are few Black.
In Chicago, the Hispanic is thriving, while there are few Hispanic.
In Houston, the Asian is thriving, while there are few Hispanic.
In Phoenix, the Hispanic is thriving, while there are few Hispanic.
In Philadelphia, the Black is thriving, while there are few Hispanic.
In San Antonio, the White is thriving, while there are few Asian.
In San Diego, the Asian is thriving, while there are few Black.
In Dallas, the White is thriving, while there are few Hispanic.
In Detroit, the Black is thriving, while there are few White.
In Jacksonville, the Asian is thriving, while there are few White.
In Indianapolis, the Hispanic is thriving, while there are few White.
In Columbus, the Hispanic is thriving, while there are few Asian.
In Austin, the White is thriving, while there are few Black.
In Charlotte, the Hispanic is thriving, while there are few Hispanic.
In Memphis, the White is thriving, while there are few Black.
In Baltimore, the Hispanic is thriving, while there are few Black.
In Boston, the Hispanic is thriving, while there are few White.
In Seattle, the Hispanic is thriving, while there are few White.
In Denver, the White is thriving, while there are few Asian.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the White is thriving, while there are few Hispanic.
In Portland, the White is thriving, while there are few Black.
In Oklahoma City, the Asian is thriving, while there are few Black.
In Las Vegas, the White is thriving, while there are few Asian.
In Louisville, the Hispanic is thriving, while there are few Black.
In Birmingham, the White is thriving, while there are few Black.
In Raleigh, the White is thriving, while there are few Asian.
In Richmond, the Asian is thriving, while there are few White.
In Hartford, the White is thriving, while there are few Asian.
In New Orleans, the Black is thriving, while there are few Hispanic.
In Buffalo, the White is thriving, while there are few Hispanic.
In Rochester, the Hispanic is thriving, while there are few Hispanic.
In Salt Lake City, the White is thriving, while there are few Asian.
In Grand Rapids, the Hispanic is thriving, while there are few Asian.
In Tucson, the Hispanic is thriving, while there are few Asian.
In Tulsa, the Asian is thriving, while there are few Asian.
In Fresno, the Black is thriving, while there are few Asian.
In Wichita, the Asian is thriving, while there are few Hispanic.
In Albuquerque, the Black is thriving, while there are few White.
In Omaha, the Black is thriving, while there are few Asian.
In Bakersfield, the White is thriving, while there are few Hispanic.
In Knoxville, the White is thriving, while there are few Black.
In Tampa, the Asian is thriving, while there are few Hispanic.
In Aurora, the White is thriving, while there are few Hispanic.
In Santa Ana, the Black is thriving, while there are few White.
In Pittsburgh, the Hispanic is thriving, while there are few White.
In Cincinnati, the Asian is thriving, while there are few Black.
In Anchorage, the Hispanic is thriving, while there are few Black.
In Toledo, the Black is thriving, while there are few Black.
