In New York, the Black is thriving, while there are few Black.
In Los Angeles, the Asian is thriving, while there are few Hispanic.
In Chicago, the White is thriving, while there are few Asian.
In Houston, the Black is thriving, while there are few White.
In Phoenix, the Black is thriving, while there are few Asian.
In Philadelphia, the Black is thriving, while there are few Asian.
In San Antonio, the Black is thriving, while there are few White.
In San Diego, the Black is thriving, while there are few Hispanic.
In Dallas, the White is thriving, while there are few Asian.
In Detroit, the Hispanic is thriving, while there are few White.
In Jacksonville, the White is thriving, while there are few Asian.
In Indianapolis, the Black is thriving, while there are few Asian.
In Columbus, the Asian is thriving, while there are few Hispanic.
In Austin, the White is thriving, while there are few Black.
In Charlotte, the Hispanic is thriving, while there are few Black.
In Memphis, the Hispanic is thriving, while there are few Asian.
In Baltimore, the Hispanic is thriving, while there are few White.
In Boston, the Asian is thriving, while there are few Asian.
In Seattle, the White is thriving, while there are few Hispanic.
In Denver, the Asian is thriving, while there are few Hispanic.
In Nashville, the Hispanic is thriving, while there are few Hispanic.
In Milwaukee, the White is thriving, while there are few Asian.
In Portland, the Hispanic is thriving, while there are few Hispanic.
In Oklahoma City, the Asian is thriving, while there are few White.
In Las Vegas, the Hispanic is thriving, while there are few Asian.
In Louisville, the Hispanic is thriving, while there are few Hispanic.
In Birmingham, the Hispanic is thriving, while there are few White.
In Raleigh, the White is thriving, while there are few Black.
In Richmond, the White is thriving, while there are few Asian.
In Hartford, the Asian is thriving, while there are few Asian.
In New Orleans, the Asian is thriving, while there are few Black.
In Buffalo, the Asian is thriving, while there are few Black.
In Rochester, the White is thriving, while there are few White.
In Salt Lake City, the Asian is thriving, while there are few Hispanic.
In Grand Rapids, the Hispanic is thriving, while there are few Asian.
In Tucson, the Black is thriving, while there are few Asian.
In Tulsa, the Hispanic is thriving, while there are few Asian.
In Fresno, the Hispanic is thriving, while there are few Black.
In Wichita, the Hispanic is thriving, while there are few White.
In Albuquerque, the Black is thriving, while there are few White.
In Omaha, the Black is thriving, while there are few Asian.
In Bakersfield, the Asian is thriving, while there are few White.
In Knoxville, the White is thriving, while there are few Hispanic.
In Tampa, the Asian is thriving, while there are few White.
In Aurora, the Hispanic is thriving, while there are few Hispanic.
In Santa Ana, the Black is thriving, while there are few White.
In Pittsburgh, the Asian is thriving, while there are few Asian.
In Cincinnati, the White is thriving, while there are few Asian.
In Anchorage, the Asian is thriving, while there are few White.
In Toledo, the Black is thriving, while there are few White.
