In New York, the Asian is thriving, while there are few Black.
In Los Angeles, the White is thriving, while there are few White.
In Chicago, the Hispanic is thriving, while there are few Black.
In Houston, the Black is thriving, while there are few Hispanic.
In Phoenix, the Black is thriving, while there are few Black.
In Philadelphia, the Asian is thriving, while there are few Black.
In San Antonio, the Hispanic is thriving, while there are few Asian.
In San Diego, the White is thriving, while there are few Asian.
In Dallas, the White is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few Hispanic.
In Jacksonville, the Asian is thriving, while there are few Asian.
In Indianapolis, the Asian is thriving, while there are few Black.
In Columbus, the White is thriving, while there are few Black.
In Austin, the Black is thriving, while there are few Hispanic.
In Charlotte, the Black is thriving, while there are few Hispanic.
In Memphis, the Black is thriving, while there are few Asian.
In Baltimore, the Black is thriving, while there are few White.
In Boston, the Hispanic is thriving, while there are few Black.
In Seattle, the Asian is thriving, while there are few Asian.
In Denver, the Asian is thriving, while there are few Hispanic.
In Nashville, the White is thriving, while there are few Hispanic.
In Milwaukee, the Hispanic is thriving, while there are few Black.
In Portland, the Black is thriving, while there are few Hispanic.
In Oklahoma City, the White is thriving, while there are few Asian.
In Las Vegas, the Hispanic is thriving, while there are few Asian.
In Louisville, the Asian is thriving, while there are few White.
In Birmingham, the Hispanic is thriving, while there are few Asian.
In Raleigh, the Hispanic is thriving, while there are few Hispanic.
In Richmond, the White is thriving, while there are few Asian.
In Hartford, the Asian is thriving, while there are few Asian.
In New Orleans, the Asian is thriving, while there are few Black.
In Buffalo, the Asian is thriving, while there are few Hispanic.
In Rochester, the Asian is thriving, while there are few Asian.
In Salt Lake City, the Hispanic is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few Hispanic.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the Asian is thriving, while there are few Hispanic.
In Fresno, the Black is thriving, while there are few Hispanic.
In Wichita, the Asian is thriving, while there are few Hispanic.
In Albuquerque, the White is thriving, while there are few Hispanic.
In Omaha, the Asian is thriving, while there are few White.
In Bakersfield, the Asian is thriving, while there are few White.
In Knoxville, the Black is thriving, while there are few Asian.
In Tampa, the White is thriving, while there are few White.
In Aurora, the White is thriving, while there are few White.
In Santa Ana, the Black is thriving, while there are few Hispanic.
In Pittsburgh, the Asian is thriving, while there are few Asian.
In Cincinnati, the White is thriving, while there are few White.
In Anchorage, the Hispanic is thriving, while there are few Hispanic.
In Toledo, the Black is thriving, while there are few Hispanic.
