In New York, the White is thriving, while there are few White.
In Los Angeles, the White is thriving, while there are few Asian.
In Chicago, the White is thriving, while there are few Black.
In Houston, the Asian is thriving, while there are few Black.
In Phoenix, the White is thriving, while there are few Asian.
In Philadelphia, the Black is thriving, while there are few Asian.
In San Antonio, the Hispanic is thriving, while there are few Asian.
In San Diego, the Asian is thriving, while there are few Black.
In Dallas, the White is thriving, while there are few White.
In Detroit, the Asian is thriving, while there are few White.
In Jacksonville, the Hispanic is thriving, while there are few Asian.
In Indianapolis, the Hispanic is thriving, while there are few White.
In Columbus, the Asian is thriving, while there are few Hispanic.
In Austin, the White is thriving, while there are few Hispanic.
In Charlotte, the White is thriving, while there are few Hispanic.
In Memphis, the Asian is thriving, while there are few Hispanic.
In Baltimore, the White is thriving, while there are few White.
In Boston, the Black is thriving, while there are few Asian.
In Seattle, the Black is thriving, while there are few White.
In Denver, the Black is thriving, while there are few Asian.
In Nashville, the White is thriving, while there are few Asian.
In Milwaukee, the White is thriving, while there are few Hispanic.
In Portland, the Hispanic is thriving, while there are few Black.
In Oklahoma City, the White is thriving, while there are few White.
In Las Vegas, the Black is thriving, while there are few Asian.
In Louisville, the Hispanic is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few White.
In Raleigh, the Asian is thriving, while there are few White.
In Richmond, the Asian is thriving, while there are few Hispanic.
In Hartford, the White is thriving, while there are few Asian.
In New Orleans, the Hispanic is thriving, while there are few Black.
In Buffalo, the Asian is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few Hispanic.
In Salt Lake City, the Asian is thriving, while there are few Black.
In Grand Rapids, the Black is thriving, while there are few White.
In Tucson, the Asian is thriving, while there are few Asian.
In Tulsa, the Hispanic is thriving, while there are few Hispanic.
In Fresno, the Black is thriving, while there are few Hispanic.
In Wichita, the Asian is thriving, while there are few White.
In Albuquerque, the White is thriving, while there are few Asian.
In Omaha, the Asian is thriving, while there are few White.
In Bakersfield, the Black is thriving, while there are few White.
In Knoxville, the Black is thriving, while there are few Black.
In Tampa, the White is thriving, while there are few Black.
In Aurora, the White is thriving, while there are few Asian.
In Santa Ana, the White is thriving, while there are few White.
In Pittsburgh, the Hispanic is thriving, while there are few Hispanic.
In Cincinnati, the White is thriving, while there are few Asian.
In Anchorage, the Black is thriving, while there are few Hispanic.
In Toledo, the Hispanic is thriving, while there are few White.
