In New York, the Black is thriving, while there are few Black.
In Los Angeles, the Asian is thriving, while there are few Asian.
In Chicago, the White is thriving, while there are few White.
In Houston, the Black is thriving, while there are few White.
In Phoenix, the Hispanic is thriving, while there are few White.
In Philadelphia, the Asian is thriving, while there are few Black.
In San Antonio, the Black is thriving, while there are few Black.
In San Diego, the Asian is thriving, while there are few Black.
In Dallas, the Hispanic is thriving, while there are few Hispanic.
In Detroit, the Hispanic is thriving, while there are few Asian.
In Jacksonville, the Hispanic is thriving, while there are few Asian.
In Indianapolis, the Black is thriving, while there are few Black.
In Columbus, the White is thriving, while there are few White.
In Austin, the Hispanic is thriving, while there are few Hispanic.
In Charlotte, the Asian is thriving, while there are few Asian.
In Memphis, the Hispanic is thriving, while there are few Black.
In Baltimore, the Asian is thriving, while there are few Asian.
In Boston, the White is thriving, while there are few Asian.
In Seattle, the Asian is thriving, while there are few Asian.
In Denver, the Asian is thriving, while there are few Asian.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few Hispanic.
In Portland, the Asian is thriving, while there are few Hispanic.
In Oklahoma City, the White is thriving, while there are few Black.
In Las Vegas, the Asian is thriving, while there are few Black.
In Louisville, the Asian is thriving, while there are few White.
In Birmingham, the White is thriving, while there are few Black.
In Raleigh, the White is thriving, while there are few White.
In Richmond, the White is thriving, while there are few Black.
In Hartford, the White is thriving, while there are few Hispanic.
In New Orleans, the Asian is thriving, while there are few Black.
In Buffalo, the Hispanic is thriving, while there are few Hispanic.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the White is thriving, while there are few Black.
In Grand Rapids, the Black is thriving, while there are few Hispanic.
In Tucson, the Asian is thriving, while there are few Asian.
In Tulsa, the White is thriving, while there are few Black.
In Fresno, the Hispanic is thriving, while there are few Hispanic.
In Wichita, the White is thriving, while there are few Asian.
In Albuquerque, the Asian is thriving, while there are few Hispanic.
In Omaha, the White is thriving, while there are few Hispanic.
In Bakersfield, the Asian is thriving, while there are few White.
In Knoxville, the Asian is thriving, while there are few Hispanic.
In Tampa, the Hispanic is thriving, while there are few Asian.
In Aurora, the Asian is thriving, while there are few Hispanic.
In Santa Ana, the Hispanic is thriving, while there are few White.
In Pittsburgh, the Black is thriving, while there are few Black.
In Cincinnati, the Asian is thriving, while there are few White.
In Anchorage, the White is thriving, while there are few Hispanic.
In Toledo, the White is thriving, while there are few Black.
