In New York, the White is thriving, while there are few Black.
In Los Angeles, the Asian is thriving, while there are few Black.
In Chicago, the White is thriving, while there are few Asian.
In Houston, the Black is thriving, while there are few Hispanic.
In Phoenix, the White is thriving, while there are few White.
In Philadelphia, the Black is thriving, while there are few White.
In San Antonio, the Asian is thriving, while there are few White.
In San Diego, the White is thriving, while there are few White.
In Dallas, the Black is thriving, while there are few Asian.
In Detroit, the Black is thriving, while there are few White.
In Jacksonville, the Black is thriving, while there are few White.
In Indianapolis, the Asian is thriving, while there are few White.
In Columbus, the Black is thriving, while there are few Asian.
In Austin, the White is thriving, while there are few Hispanic.
In Charlotte, the Black is thriving, while there are few White.
In Memphis, the White is thriving, while there are few Hispanic.
In Baltimore, the White is thriving, while there are few Asian.
In Boston, the Black is thriving, while there are few Asian.
In Seattle, the Hispanic is thriving, while there are few Black.
In Denver, the Asian is thriving, while there are few Black.
In Nashville, the Black is thriving, while there are few Asian.
In Milwaukee, the Asian is thriving, while there are few White.
In Portland, the Black is thriving, while there are few Black.
In Oklahoma City, the White is thriving, while there are few Hispanic.
In Las Vegas, the Hispanic is thriving, while there are few Black.
In Louisville, the Asian is thriving, while there are few Hispanic.
In Birmingham, the Hispanic is thriving, while there are few Black.
In Raleigh, the Hispanic is thriving, while there are few Black.
In Richmond, the Hispanic is thriving, while there are few White.
In Hartford, the White is thriving, while there are few Hispanic.
In New Orleans, the White is thriving, while there are few Asian.
In Buffalo, the Black is thriving, while there are few Hispanic.
In Rochester, the White is thriving, while there are few White.
In Salt Lake City, the Black is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few Black.
In Tucson, the Hispanic is thriving, while there are few Hispanic.
In Tulsa, the Asian is thriving, while there are few Black.
In Fresno, the Hispanic is thriving, while there are few Asian.
In Wichita, the Black is thriving, while there are few Asian.
In Albuquerque, the Hispanic is thriving, while there are few Asian.
In Omaha, the Asian is thriving, while there are few Black.
In Bakersfield, the White is thriving, while there are few White.
In Knoxville, the White is thriving, while there are few Black.
In Tampa, the Hispanic is thriving, while there are few Asian.
In Aurora, the White is thriving, while there are few Black.
In Santa Ana, the Hispanic is thriving, while there are few Hispanic.
In Pittsburgh, the Black is thriving, while there are few Asian.
In Cincinnati, the Black is thriving, while there are few Black.
In Anchorage, the White is thriving, while there are few Asian.
In Toledo, the Asian is thriving, while there are few Asian.
