In New York, the White is thriving, while there are few Asian.
In Los Angeles, the Hispanic is thriving, while there are few Black.
In Chicago, the Black is thriving, while there are few White.
In Houston, the White is thriving, while there are few Asian.
In Phoenix, the Asian is thriving, while there are few Hispanic.
In Philadelphia, the Black is thriving, while there are few Hispanic.
In San Antonio, the Black is thriving, while there are few Hispanic.
In San Diego, the Asian is thriving, while there are few White.
In Dallas, the White is thriving, while there are few Hispanic.
In Detroit, the Asian is thriving, while there are few Black.
In Jacksonville, the Asian is thriving, while there are few Black.
In Indianapolis, the Hispanic is thriving, while there are few White.
In Columbus, the White is thriving, while there are few White.
In Austin, the White is thriving, while there are few Hispanic.
In Charlotte, the Asian is thriving, while there are few Hispanic.
In Memphis, the White is thriving, while there are few Asian.
In Baltimore, the Asian is thriving, while there are few Black.
In Boston, the White is thriving, while there are few Hispanic.
In Seattle, the White is thriving, while there are few Black.
In Denver, the Hispanic is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few Asian.
In Milwaukee, the Asian is thriving, while there are few White.
In Portland, the Hispanic is thriving, while there are few Hispanic.
In Oklahoma City, the Black is thriving, while there are few Hispanic.
In Las Vegas, the Black is thriving, while there are few White.
In Louisville, the Black is thriving, while there are few Asian.
In Birmingham, the Hispanic is thriving, while there are few Asian.
In Raleigh, the Asian is thriving, while there are few Hispanic.
In Richmond, the Asian is thriving, while there are few White.
In Hartford, the White is thriving, while there are few White.
In New Orleans, the Asian is thriving, while there are few Hispanic.
In Buffalo, the White is thriving, while there are few White.
In Rochester, the White is thriving, while there are few Asian.
In Salt Lake City, the Asian is thriving, while there are few Black.
In Grand Rapids, the Hispanic is thriving, while there are few Hispanic.
In Tucson, the Asian is thriving, while there are few Black.
In Tulsa, the Asian is thriving, while there are few Black.
In Fresno, the Hispanic is thriving, while there are few Black.
In Wichita, the Asian is thriving, while there are few Asian.
In Albuquerque, the White is thriving, while there are few Hispanic.
In Omaha, the Hispanic is thriving, while there are few Black.
In Bakersfield, the Hispanic is thriving, while there are few Hispanic.
In Knoxville, the White is thriving, while there are few Black.
In Tampa, the Asian is thriving, while there are few Hispanic.
In Aurora, the Asian is thriving, while there are few Black.
In Santa Ana, the Asian is thriving, while there are few White.
In Pittsburgh, the Hispanic is thriving, while there are few Black.
In Cincinnati, the Hispanic is thriving, while there are few Black.
In Anchorage, the Black is thriving, while there are few Hispanic.
In Toledo, the Black is thriving, while there are few Hispanic.
