In New York, the Black is thriving, while there are few Black.
In Los Angeles, the White is thriving, while there are few White.
In Chicago, the White is thriving, while there are few Hispanic.
In Houston, the Asian is thriving, while there are few Hispanic.
In Phoenix, the White is thriving, while there are few Asian.
In Philadelphia, the Asian is thriving, while there are few Black.
In San Antonio, the Black is thriving, while there are few Hispanic.
In San Diego, the Hispanic is thriving, while there are few Hispanic.
In Dallas, the White is thriving, while there are few Black.
In Detroit, the Black is thriving, while there are few Hispanic.
In Jacksonville, the Asian is thriving, while there are few Asian.
In Indianapolis, the Hispanic is thriving, while there are few White.
In Columbus, the Asian is thriving, while there are few White.
In Austin, the Asian is thriving, while there are few Asian.
In Charlotte, the Black is thriving, while there are few Black.
In Memphis, the White is thriving, while there are few Hispanic.
In Baltimore, the Hispanic is thriving, while there are few White.
In Boston, the Hispanic is thriving, while there are few Asian.
In Seattle, the Asian is thriving, while there are few White.
In Denver, the Black is thriving, while there are few White.
In Nashville, the Hispanic is thriving, while there are few White.
In Milwaukee, the White is thriving, while there are few Asian.
In Portland, the Asian is thriving, while there are few Black.
In Oklahoma City, the Asian is thriving, while there are few Black.
In Las Vegas, the White is thriving, while there are few Hispanic.
In Louisville, the Hispanic is thriving, while there are few Hispanic.
In Birmingham, the Asian is thriving, while there are few Asian.
In Raleigh, the Hispanic is thriving, while there are few Hispanic.
In Richmond, the White is thriving, while there are few Asian.
In Hartford, the Asian is thriving, while there are few Asian.
In New Orleans, the Black is thriving, while there are few Asian.
In Buffalo, the Hispanic is thriving, while there are few Black.
In Rochester, the White is thriving, while there are few Black.
In Salt Lake City, the White is thriving, while there are few White.
In Grand Rapids, the Asian is thriving, while there are few White.
In Tucson, the White is thriving, while there are few White.
In Tulsa, the White is thriving, while there are few White.
In Fresno, the Hispanic is thriving, while there are few White.
In Wichita, the Hispanic is thriving, while there are few White.
In Albuquerque, the White is thriving, while there are few Asian.
In Omaha, the Black is thriving, while there are few Hispanic.
In Bakersfield, the Black is thriving, while there are few Black.
In Knoxville, the Asian is thriving, while there are few Hispanic.
In Tampa, the White is thriving, while there are few Asian.
In Aurora, the White is thriving, while there are few Black.
In Santa Ana, the White is thriving, while there are few Black.
In Pittsburgh, the Asian is thriving, while there are few Black.
In Cincinnati, the Asian is thriving, while there are few White.
In Anchorage, the Asian is thriving, while there are few Black.
In Toledo, the Hispanic is thriving, while there are few White.
