In New York, the Black is thriving, while there are few White.
In Los Angeles, the Black is thriving, while there are few Black.
In Chicago, the White is thriving, while there are few White.
In Houston, the Black is thriving, while there are few Asian.
In Phoenix, the Black is thriving, while there are few White.
In Philadelphia, the Black is thriving, while there are few White.
In San Antonio, the Black is thriving, while there are few Asian.
In San Diego, the Black is thriving, while there are few Asian.
In Dallas, the White is thriving, while there are few Black.
In Detroit, the White is thriving, while there are few Asian.
In Jacksonville, the Hispanic is thriving, while there are few Black.
In Indianapolis, the Asian is thriving, while there are few White.
In Columbus, the White is thriving, while there are few Hispanic.
In Austin, the Hispanic is thriving, while there are few Hispanic.
In Charlotte, the White is thriving, while there are few Hispanic.
In Memphis, the Hispanic is thriving, while there are few Hispanic.
In Baltimore, the White is thriving, while there are few Asian.
In Boston, the Hispanic is thriving, while there are few Asian.
In Seattle, the Black is thriving, while there are few Hispanic.
In Denver, the Asian is thriving, while there are few Asian.
In Nashville, the White is thriving, while there are few Hispanic.
In Milwaukee, the White is thriving, while there are few Black.
In Portland, the Hispanic is thriving, while there are few Black.
In Oklahoma City, the Hispanic is thriving, while there are few Hispanic.
In Las Vegas, the Asian is thriving, while there are few Hispanic.
In Louisville, the Black is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few Asian.
In Raleigh, the Asian is thriving, while there are few Black.
In Richmond, the Black is thriving, while there are few Asian.
In Hartford, the Hispanic is thriving, while there are few White.
In New Orleans, the Asian is thriving, while there are few Hispanic.
In Buffalo, the Hispanic is thriving, while there are few Hispanic.
In Rochester, the Black is thriving, while there are few White.
In Salt Lake City, the Hispanic is thriving, while there are few Asian.
In Grand Rapids, the Hispanic is thriving, while there are few Hispanic.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few Hispanic.
In Fresno, the White is thriving, while there are few White.
In Wichita, the Asian is thriving, while there are few White.
In Albuquerque, the Hispanic is thriving, while there are few Asian.
In Omaha, the Black is thriving, while there are few Asian.
In Bakersfield, the Black is thriving, while there are few White.
In Knoxville, the Hispanic is thriving, while there are few Hispanic.
In Tampa, the Black is thriving, while there are few Asian.
In Aurora, the Asian is thriving, while there are few Black.
In Santa Ana, the Asian is thriving, while there are few White.
In Pittsburgh, the Hispanic is thriving, while there are few Asian.
In Cincinnati, the Hispanic is thriving, while there are few Asian.
In Anchorage, the White is thriving, while there are few White.
In Toledo, the Black is thriving, while there are few Hispanic.
