In New York, the Black is thriving, while there are few White.
In Los Angeles, the Asian is thriving, while there are few Black.
In Chicago, the Asian is thriving, while there are few Hispanic.
In Houston, the White is thriving, while there are few Black.
In Phoenix, the Hispanic is thriving, while there are few White.
In Philadelphia, the Asian is thriving, while there are few White.
In San Antonio, the White is thriving, while there are few Black.
In San Diego, the Hispanic is thriving, while there are few White.
In Dallas, the Hispanic is thriving, while there are few White.
In Detroit, the Asian is thriving, while there are few Asian.
In Jacksonville, the Hispanic is thriving, while there are few Hispanic.
In Indianapolis, the White is thriving, while there are few White.
In Columbus, the White is thriving, while there are few Asian.
In Austin, the Asian is thriving, while there are few White.
In Charlotte, the Asian is thriving, while there are few Hispanic.
In Memphis, the Black is thriving, while there are few White.
In Baltimore, the White is thriving, while there are few Hispanic.
In Boston, the Asian is thriving, while there are few Hispanic.
In Seattle, the Hispanic is thriving, while there are few Hispanic.
In Denver, the Black is thriving, while there are few Black.
In Nashville, the Asian is thriving, while there are few Hispanic.
In Milwaukee, the Hispanic is thriving, while there are few Black.
In Portland, the White is thriving, while there are few Asian.
In Oklahoma City, the White is thriving, while there are few Black.
In Las Vegas, the White is thriving, while there are few Asian.
In Louisville, the Asian is thriving, while there are few Asian.
In Birmingham, the Black is thriving, while there are few White.
In Raleigh, the White is thriving, while there are few Asian.
In Richmond, the White is thriving, while there are few Hispanic.
In Hartford, the White is thriving, while there are few Asian.
In New Orleans, the Hispanic is thriving, while there are few Asian.
In Buffalo, the Hispanic is thriving, while there are few White.
In Rochester, the Asian is thriving, while there are few White.
In Salt Lake City, the White is thriving, while there are few Black.
In Grand Rapids, the Black is thriving, while there are few Black.
In Tucson, the Black is thriving, while there are few Asian.
In Tulsa, the White is thriving, while there are few Hispanic.
In Fresno, the White is thriving, while there are few Asian.
In Wichita, the Black is thriving, while there are few White.
In Albuquerque, the Black is thriving, while there are few Hispanic.
In Omaha, the White is thriving, while there are few White.
In Bakersfield, the Asian is thriving, while there are few Hispanic.
In Knoxville, the Hispanic is thriving, while there are few White.
In Tampa, the Asian is thriving, while there are few White.
In Aurora, the Black is thriving, while there are few Asian.
In Santa Ana, the White is thriving, while there are few Asian.
In Pittsburgh, the Hispanic is thriving, while there are few Asian.
In Cincinnati, the White is thriving, while there are few Black.
In Anchorage, the Black is thriving, while there are few White.
In Toledo, the Asian is thriving, while there are few Hispanic.
