In New York, the White is thriving, while there are few Black.
In Los Angeles, the Asian is thriving, while there are few Asian.
In Chicago, the Hispanic is thriving, while there are few White.
In Houston, the Black is thriving, while there are few Black.
In Phoenix, the White is thriving, while there are few White.
In Philadelphia, the White is thriving, while there are few Hispanic.
In San Antonio, the Hispanic is thriving, while there are few Black.
In San Diego, the Hispanic is thriving, while there are few Hispanic.
In Dallas, the White is thriving, while there are few Black.
In Detroit, the White is thriving, while there are few Black.
In Jacksonville, the Asian is thriving, while there are few Hispanic.
In Indianapolis, the Asian is thriving, while there are few Black.
In Columbus, the Asian is thriving, while there are few Black.
In Austin, the Hispanic is thriving, while there are few Black.
In Charlotte, the Asian is thriving, while there are few White.
In Memphis, the Black is thriving, while there are few Asian.
In Baltimore, the Hispanic is thriving, while there are few Asian.
In Boston, the Asian is thriving, while there are few Black.
In Seattle, the Asian is thriving, while there are few White.
In Denver, the Hispanic is thriving, while there are few Black.
In Nashville, the Asian is thriving, while there are few Hispanic.
In Milwaukee, the Asian is thriving, while there are few Hispanic.
In Portland, the Black is thriving, while there are few White.
In Oklahoma City, the Hispanic is thriving, while there are few Asian.
In Las Vegas, the Black is thriving, while there are few Black.
In Louisville, the Asian is thriving, while there are few Black.
In Birmingham, the Asian is thriving, while there are few Asian.
In Raleigh, the White is thriving, while there are few White.
In Richmond, the White is thriving, while there are few White.
In Hartford, the Hispanic is thriving, while there are few Hispanic.
In New Orleans, the Black is thriving, while there are few Black.
In Buffalo, the Hispanic is thriving, while there are few Asian.
In Rochester, the Black is thriving, while there are few Black.
In Salt Lake City, the Hispanic is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few Asian.
In Tucson, the Hispanic is thriving, while there are few Asian.
In Tulsa, the Hispanic is thriving, while there are few White.
In Fresno, the White is thriving, while there are few Black.
In Wichita, the White is thriving, while there are few Black.
In Albuquerque, the Black is thriving, while there are few Black.
In Omaha, the Asian is thriving, while there are few Asian.
In Bakersfield, the Hispanic is thriving, while there are few Hispanic.
In Knoxville, the Black is thriving, while there are few Black.
In Tampa, the Black is thriving, while there are few White.
In Aurora, the Black is thriving, while there are few Black.
In Santa Ana, the Black is thriving, while there are few White.
In Pittsburgh, the Hispanic is thriving, while there are few Hispanic.
In Cincinnati, the White is thriving, while there are few Black.
In Anchorage, the Hispanic is thriving, while there are few White.
In Toledo, the Asian is thriving, while there are few White.
