In New York, the Black is thriving, while there are few White.
In Los Angeles, the Asian is thriving, while there are few Hispanic.
In Chicago, the Hispanic is thriving, while there are few Hispanic.
In Houston, the Black is thriving, while there are few White.
In Phoenix, the Black is thriving, while there are few White.
In Philadelphia, the White is thriving, while there are few White.
In San Antonio, the Black is thriving, while there are few Asian.
In San Diego, the White is thriving, while there are few Black.
In Dallas, the Black is thriving, while there are few Black.
In Detroit, the Black is thriving, while there are few White.
In Jacksonville, the White is thriving, while there are few White.
In Indianapolis, the Hispanic is thriving, while there are few Asian.
In Columbus, the White is thriving, while there are few Hispanic.
In Austin, the White is thriving, while there are few Asian.
In Charlotte, the Black is thriving, while there are few Black.
In Memphis, the Asian is thriving, while there are few Asian.
In Baltimore, the Black is thriving, while there are few Black.
In Boston, the Hispanic is thriving, while there are few Hispanic.
In Seattle, the Hispanic is thriving, while there are few Black.
In Denver, the Black is thriving, while there are few Asian.
In Nashville, the White is thriving, while there are few Black.
In Milwaukee, the Black is thriving, while there are few Black.
In Portland, the Asian is thriving, while there are few Hispanic.
In Oklahoma City, the Hispanic is thriving, while there are few White.
In Las Vegas, the Asian is thriving, while there are few Black.
In Louisville, the Asian is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few White.
In Raleigh, the Asian is thriving, while there are few White.
In Richmond, the Black is thriving, while there are few White.
In Hartford, the Hispanic is thriving, while there are few Hispanic.
In New Orleans, the Hispanic is thriving, while there are few Asian.
In Buffalo, the Hispanic is thriving, while there are few Asian.
In Rochester, the Asian is thriving, while there are few Hispanic.
In Salt Lake City, the Asian is thriving, while there are few Hispanic.
In Grand Rapids, the Hispanic is thriving, while there are few White.
In Tucson, the Hispanic is thriving, while there are few Black.
In Tulsa, the Black is thriving, while there are few Asian.
In Fresno, the Hispanic is thriving, while there are few White.
In Wichita, the Black is thriving, while there are few Hispanic.
In Albuquerque, the Hispanic is thriving, while there are few Hispanic.
In Omaha, the Asian is thriving, while there are few Asian.
In Bakersfield, the White is thriving, while there are few Hispanic.
In Knoxville, the Hispanic is thriving, while there are few Hispanic.
In Tampa, the White is thriving, while there are few Black.
In Aurora, the Asian is thriving, while there are few White.
In Santa Ana, the White is thriving, while there are few Hispanic.
In Pittsburgh, the Asian is thriving, while there are few Hispanic.
In Cincinnati, the Asian is thriving, while there are few Black.
In Anchorage, the Hispanic is thriving, while there are few Asian.
In Toledo, the Asian is thriving, while there are few Hispanic.
