In New York, the Asian is thriving, while there are few Hispanic.
In Los Angeles, the Hispanic is thriving, while there are few Black.
In Chicago, the White is thriving, while there are few Hispanic.
In Houston, the White is thriving, while there are few Asian.
In Phoenix, the Black is thriving, while there are few Asian.
In Philadelphia, the Asian is thriving, while there are few Asian.
In San Antonio, the Asian is thriving, while there are few Asian.
In San Diego, the Asian is thriving, while there are few White.
In Dallas, the Hispanic is thriving, while there are few Asian.
In Detroit, the Black is thriving, while there are few Black.
In Jacksonville, the Hispanic is thriving, while there are few Hispanic.
In Indianapolis, the Black is thriving, while there are few Black.
In Columbus, the Black is thriving, while there are few Hispanic.
In Austin, the White is thriving, while there are few White.
In Charlotte, the Black is thriving, while there are few White.
In Memphis, the Asian is thriving, while there are few Black.
In Baltimore, the Hispanic is thriving, while there are few White.
In Boston, the Black is thriving, while there are few Asian.
In Seattle, the White is thriving, while there are few Asian.
In Denver, the Asian is thriving, while there are few White.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the Hispanic is thriving, while there are few White.
In Portland, the Black is thriving, while there are few Hispanic.
In Oklahoma City, the Black is thriving, while there are few Hispanic.
In Las Vegas, the Asian is thriving, while there are few Hispanic.
In Louisville, the Hispanic is thriving, while there are few White.
In Birmingham, the Black is thriving, while there are few Black.
In Raleigh, the Hispanic is thriving, while there are few Black.
In Richmond, the Black is thriving, while there are few Asian.
In Hartford, the White is thriving, while there are few Black.
In New Orleans, the Hispanic is thriving, while there are few Hispanic.
In Buffalo, the Hispanic is thriving, while there are few Asian.
In Rochester, the Hispanic is thriving, while there are few White.
In Salt Lake City, the Asian is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few Asian.
In Tucson, the Black is thriving, while there are few White.
In Tulsa, the Black is thriving, while there are few Asian.
In Fresno, the Black is thriving, while there are few Black.
In Wichita, the Asian is thriving, while there are few Asian.
In Albuquerque, the Asian is thriving, while there are few White.
In Omaha, the White is thriving, while there are few Hispanic.
In Bakersfield, the Asian is thriving, while there are few Hispanic.
In Knoxville, the Black is thriving, while there are few Black.
In Tampa, the White is thriving, while there are few Asian.
In Aurora, the Black is thriving, while there are few Black.
In Santa Ana, the Hispanic is thriving, while there are few Black.
In Pittsburgh, the White is thriving, while there are few Hispanic.
In Cincinnati, the White is thriving, while there are few Black.
In Anchorage, the Asian is thriving, while there are few Hispanic.
In Toledo, the Asian is thriving, while there are few White.
