In New York, the Asian is thriving, while there are few White.
In Los Angeles, the White is thriving, while there are few Black.
In Chicago, the Asian is thriving, while there are few Hispanic.
In Houston, the Black is thriving, while there are few White.
In Phoenix, the Black is thriving, while there are few White.
In Philadelphia, the Black is thriving, while there are few Hispanic.
In San Antonio, the Black is thriving, while there are few White.
In San Diego, the Asian is thriving, while there are few Hispanic.
In Dallas, the Asian is thriving, while there are few White.
In Detroit, the White is thriving, while there are few White.
In Jacksonville, the Asian is thriving, while there are few Hispanic.
In Indianapolis, the White is thriving, while there are few Asian.
In Columbus, the Black is thriving, while there are few White.
In Austin, the Asian is thriving, while there are few White.
In Charlotte, the Asian is thriving, while there are few Black.
In Memphis, the Black is thriving, while there are few Hispanic.
In Baltimore, the Asian is thriving, while there are few Hispanic.
In Boston, the Black is thriving, while there are few White.
In Seattle, the Black is thriving, while there are few Asian.
In Denver, the Black is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few Black.
In Portland, the Asian is thriving, while there are few Black.
In Oklahoma City, the Black is thriving, while there are few Black.
In Las Vegas, the Asian is thriving, while there are few Asian.
In Louisville, the Black is thriving, while there are few Asian.
In Birmingham, the Hispanic is thriving, while there are few White.
In Raleigh, the Asian is thriving, while there are few Hispanic.
In Richmond, the White is thriving, while there are few Black.
In Hartford, the Hispanic is thriving, while there are few White.
In New Orleans, the Asian is thriving, while there are few Hispanic.
In Buffalo, the Black is thriving, while there are few White.
In Rochester, the Asian is thriving, while there are few Hispanic.
In Salt Lake City, the Asian is thriving, while there are few Asian.
In Grand Rapids, the Asian is thriving, while there are few Hispanic.
In Tucson, the Hispanic is thriving, while there are few Black.
In Tulsa, the White is thriving, while there are few Hispanic.
In Fresno, the Black is thriving, while there are few Asian.
In Wichita, the White is thriving, while there are few Black.
In Albuquerque, the Asian is thriving, while there are few Asian.
In Omaha, the Asian is thriving, while there are few Asian.
In Bakersfield, the Asian is thriving, while there are few White.
In Knoxville, the White is thriving, while there are few Asian.
In Tampa, the White is thriving, while there are few Black.
In Aurora, the Asian is thriving, while there are few White.
In Santa Ana, the Black is thriving, while there are few Asian.
In Pittsburgh, the Black is thriving, while there are few Black.
In Cincinnati, the Hispanic is thriving, while there are few Hispanic.
In Anchorage, the Hispanic is thriving, while there are few White.
In Toledo, the Asian is thriving, while there are few Asian.
