In New York, the Hispanic is thriving, while there are few Hispanic.
In Los Angeles, the White is thriving, while there are few Asian.
In Chicago, the Black is thriving, while there are few Black.
In Houston, the Asian is thriving, while there are few Hispanic.
In Phoenix, the Black is thriving, while there are few White.
In Philadelphia, the Black is thriving, while there are few Asian.
In San Antonio, the Black is thriving, while there are few Black.
In San Diego, the Black is thriving, while there are few White.
In Dallas, the White is thriving, while there are few Asian.
In Detroit, the White is thriving, while there are few Black.
In Jacksonville, the Hispanic is thriving, while there are few Black.
In Indianapolis, the White is thriving, while there are few White.
In Columbus, the Black is thriving, while there are few White.
In Austin, the White is thriving, while there are few Black.
In Charlotte, the Hispanic is thriving, while there are few Hispanic.
In Memphis, the White is thriving, while there are few Hispanic.
In Baltimore, the Hispanic is thriving, while there are few Hispanic.
In Boston, the Asian is thriving, while there are few Hispanic.
In Seattle, the Asian is thriving, while there are few Asian.
In Denver, the Asian is thriving, while there are few Black.
In Nashville, the Hispanic is thriving, while there are few Hispanic.
In Milwaukee, the Asian is thriving, while there are few Hispanic.
In Portland, the Asian is thriving, while there are few Asian.
In Oklahoma City, the Asian is thriving, while there are few Asian.
In Las Vegas, the Asian is thriving, while there are few Black.
In Louisville, the Asian is thriving, while there are few White.
In Birmingham, the Asian is thriving, while there are few Black.
In Raleigh, the White is thriving, while there are few Hispanic.
In Richmond, the Asian is thriving, while there are few Hispanic.
In Hartford, the Black is thriving, while there are few White.
In New Orleans, the Asian is thriving, while there are few Asian.
In Buffalo, the Asian is thriving, while there are few White.
In Rochester, the White is thriving, while there are few Hispanic.
In Salt Lake City, the Asian is thriving, while there are few Asian.
In Grand Rapids, the Black is thriving, while there are few White.
In Tucson, the White is thriving, while there are few Hispanic.
In Tulsa, the White is thriving, while there are few White.
In Fresno, the Asian is thriving, while there are few Asian.
In Wichita, the White is thriving, while there are few Hispanic.
In Albuquerque, the White is thriving, while there are few Asian.
In Omaha, the Black is thriving, while there are few Asian.
In Bakersfield, the White is thriving, while there are few Hispanic.
In Knoxville, the White is thriving, while there are few Asian.
In Tampa, the Asian is thriving, while there are few Asian.
In Aurora, the Black is thriving, while there are few White.
In Santa Ana, the White is thriving, while there are few Asian.
In Pittsburgh, the White is thriving, while there are few Black.
In Cincinnati, the Hispanic is thriving, while there are few White.
In Anchorage, the Hispanic is thriving, while there are few Asian.
In Toledo, the Black is thriving, while there are few Asian.
