In New York, the Asian is thriving, while there are few White.
In Los Angeles, the White is thriving, while there are few Black.
In Chicago, the White is thriving, while there are few Asian.
In Houston, the White is thriving, while there are few Black.
In Phoenix, the Black is thriving, while there are few White.
In Philadelphia, the Hispanic is thriving, while there are few Asian.
In San Antonio, the Black is thriving, while there are few Black.
In San Diego, the Black is thriving, while there are few Asian.
In Dallas, the Hispanic is thriving, while there are few Hispanic.
In Detroit, the White is thriving, while there are few Hispanic.
In Jacksonville, the White is thriving, while there are few White.
In Indianapolis, the Hispanic is thriving, while there are few Black.
In Columbus, the Hispanic is thriving, while there are few White.
In Austin, the Hispanic is thriving, while there are few Black.
In Charlotte, the Asian is thriving, while there are few Black.
In Memphis, the White is thriving, while there are few Asian.
In Baltimore, the Asian is thriving, while there are few White.
In Boston, the Hispanic is thriving, while there are few White.
In Seattle, the Asian is thriving, while there are few White.
In Denver, the White is thriving, while there are few Black.
In Nashville, the White is thriving, while there are few Hispanic.
In Milwaukee, the Black is thriving, while there are few Hispanic.
In Portland, the Black is thriving, while there are few Hispanic.
In Oklahoma City, the Hispanic is thriving, while there are few Black.
In Las Vegas, the Hispanic is thriving, while there are few White.
In Louisville, the Black is thriving, while there are few White.
In Birmingham, the Black is thriving, while there are few Black.
In Raleigh, the White is thriving, while there are few White.
In Richmond, the White is thriving, while there are few Asian.
In Hartford, the Asian is thriving, while there are few Black.
In New Orleans, the Hispanic is thriving, while there are few Black.
In Buffalo, the Hispanic is thriving, while there are few Hispanic.
In Rochester, the Hispanic is thriving, while there are few Hispanic.
In Salt Lake City, the Asian is thriving, while there are few Asian.
In Grand Rapids, the Hispanic is thriving, while there are few Asian.
In Tucson, the White is thriving, while there are few Hispanic.
In Tulsa, the Asian is thriving, while there are few Hispanic.
In Fresno, the White is thriving, while there are few Black.
In Wichita, the White is thriving, while there are few Asian.
In Albuquerque, the Black is thriving, while there are few Hispanic.
In Omaha, the White is thriving, while there are few Asian.
In Bakersfield, the Asian is thriving, while there are few Black.
In Knoxville, the Hispanic is thriving, while there are few Hispanic.
In Tampa, the White is thriving, while there are few Asian.
In Aurora, the Black is thriving, while there are few White.
In Santa Ana, the Black is thriving, while there are few Asian.
In Pittsburgh, the Asian is thriving, while there are few Hispanic.
In Cincinnati, the Black is thriving, while there are few Asian.
In Anchorage, the Hispanic is thriving, while there are few White.
In Toledo, the Hispanic is thriving, while there are few White.
