In New York, the Hispanic is thriving, while there are few White.
In Los Angeles, the White is thriving, while there are few Black.
In Chicago, the Hispanic is thriving, while there are few Black.
In Houston, the Black is thriving, while there are few White.
In Phoenix, the Asian is thriving, while there are few Hispanic.
In Philadelphia, the White is thriving, while there are few Black.
In San Antonio, the Asian is thriving, while there are few Asian.
In San Diego, the Hispanic is thriving, while there are few Asian.
In Dallas, the Black is thriving, while there are few Hispanic.
In Detroit, the White is thriving, while there are few White.
In Jacksonville, the Black is thriving, while there are few Black.
In Indianapolis, the Asian is thriving, while there are few Black.
In Columbus, the Hispanic is thriving, while there are few White.
In Austin, the White is thriving, while there are few Black.
In Charlotte, the White is thriving, while there are few Hispanic.
In Memphis, the Black is thriving, while there are few Hispanic.
In Baltimore, the Asian is thriving, while there are few Asian.
In Boston, the Black is thriving, while there are few Hispanic.
In Seattle, the Hispanic is thriving, while there are few Black.
In Denver, the Black is thriving, while there are few Asian.
In Nashville, the Hispanic is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few Black.
In Portland, the Asian is thriving, while there are few Black.
In Oklahoma City, the Black is thriving, while there are few Hispanic.
In Las Vegas, the Asian is thriving, while there are few Black.
In Louisville, the Asian is thriving, while there are few White.
In Birmingham, the White is thriving, while there are few Asian.
In Raleigh, the Asian is thriving, while there are few White.
In Richmond, the White is thriving, while there are few Black.
In Hartford, the Hispanic is thriving, while there are few Asian.
In New Orleans, the Hispanic is thriving, while there are few Hispanic.
In Buffalo, the Hispanic is thriving, while there are few Black.
In Rochester, the Black is thriving, while there are few Asian.
In Salt Lake City, the Hispanic is thriving, while there are few Asian.
In Grand Rapids, the Hispanic is thriving, while there are few Asian.
In Tucson, the Black is thriving, while there are few Asian.
In Tulsa, the White is thriving, while there are few White.
In Fresno, the Asian is thriving, while there are few Asian.
In Wichita, the White is thriving, while there are few Asian.
In Albuquerque, the Black is thriving, while there are few White.
In Omaha, the White is thriving, while there are few Hispanic.
In Bakersfield, the Black is thriving, while there are few Hispanic.
In Knoxville, the Black is thriving, while there are few Hispanic.
In Tampa, the Hispanic is thriving, while there are few White.
In Aurora, the Hispanic is thriving, while there are few Black.
In Santa Ana, the Asian is thriving, while there are few Asian.
In Pittsburgh, the Hispanic is thriving, while there are few Black.
In Cincinnati, the Asian is thriving, while there are few White.
In Anchorage, the White is thriving, while there are few White.
In Toledo, the Hispanic is thriving, while there are few Asian.
