In New York, the Hispanic is thriving, while there are few Hispanic.
In Los Angeles, the White is thriving, while there are few Hispanic.
In Chicago, the Asian is thriving, while there are few White.
In Houston, the Black is thriving, while there are few White.
In Phoenix, the White is thriving, while there are few Asian.
In Philadelphia, the White is thriving, while there are few Black.
In San Antonio, the Asian is thriving, while there are few Hispanic.
In San Diego, the Hispanic is thriving, while there are few White.
In Dallas, the Hispanic is thriving, while there are few Asian.
In Detroit, the Black is thriving, while there are few Black.
In Jacksonville, the Asian is thriving, while there are few Black.
In Indianapolis, the Hispanic is thriving, while there are few Asian.
In Columbus, the White is thriving, while there are few Asian.
In Austin, the Asian is thriving, while there are few Black.
In Charlotte, the Asian is thriving, while there are few Hispanic.
In Memphis, the Black is thriving, while there are few White.
In Baltimore, the Asian is thriving, while there are few Hispanic.
In Boston, the White is thriving, while there are few Asian.
In Seattle, the Hispanic is thriving, while there are few White.
In Denver, the Black is thriving, while there are few Asian.
In Nashville, the Hispanic is thriving, while there are few Black.
In Milwaukee, the Asian is thriving, while there are few White.
In Portland, the Hispanic is thriving, while there are few White.
In Oklahoma City, the Hispanic is thriving, while there are few Hispanic.
In Las Vegas, the Asian is thriving, while there are few Hispanic.
In Louisville, the White is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few White.
In Raleigh, the Black is thriving, while there are few Hispanic.
In Richmond, the White is thriving, while there are few White.
In Hartford, the Black is thriving, while there are few Asian.
In New Orleans, the White is thriving, while there are few White.
In Buffalo, the Black is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few Black.
In Salt Lake City, the Hispanic is thriving, while there are few Asian.
In Grand Rapids, the White is thriving, while there are few Asian.
In Tucson, the White is thriving, while there are few Hispanic.
In Tulsa, the Asian is thriving, while there are few Hispanic.
In Fresno, the Hispanic is thriving, while there are few Asian.
In Wichita, the Hispanic is thriving, while there are few Hispanic.
In Albuquerque, the Asian is thriving, while there are few Hispanic.
In Omaha, the Black is thriving, while there are few White.
In Bakersfield, the Black is thriving, while there are few Asian.
In Knoxville, the Hispanic is thriving, while there are few Black.
In Tampa, the Hispanic is thriving, while there are few Hispanic.
In Aurora, the Hispanic is thriving, while there are few Asian.
In Santa Ana, the Black is thriving, while there are few White.
In Pittsburgh, the Asian is thriving, while there are few Asian.
In Cincinnati, the Black is thriving, while there are few Black.
In Anchorage, the White is thriving, while there are few Hispanic.
In Toledo, the Asian is thriving, while there are few Asian.
