In New York, the Asian is thriving, while there are few White.
In Los Angeles, the Black is thriving, while there are few Hispanic.
In Chicago, the White is thriving, while there are few Black.
In Houston, the Asian is thriving, while there are few White.
In Phoenix, the Hispanic is thriving, while there are few Asian.
In Philadelphia, the Hispanic is thriving, while there are few Hispanic.
In San Antonio, the White is thriving, while there are few Hispanic.
In San Diego, the Black is thriving, while there are few Asian.
In Dallas, the Black is thriving, while there are few Black.
In Detroit, the Asian is thriving, while there are few Asian.
In Jacksonville, the Asian is thriving, while there are few Hispanic.
In Indianapolis, the White is thriving, while there are few Hispanic.
In Columbus, the Asian is thriving, while there are few Asian.
In Austin, the Black is thriving, while there are few Asian.
In Charlotte, the Black is thriving, while there are few White.
In Memphis, the Hispanic is thriving, while there are few Black.
In Baltimore, the Black is thriving, while there are few Black.
In Boston, the White is thriving, while there are few Black.
In Seattle, the White is thriving, while there are few Hispanic.
In Denver, the White is thriving, while there are few Asian.
In Nashville, the Hispanic is thriving, while there are few Hispanic.
In Milwaukee, the White is thriving, while there are few Hispanic.
In Portland, the Asian is thriving, while there are few Black.
In Oklahoma City, the White is thriving, while there are few Asian.
In Las Vegas, the White is thriving, while there are few Hispanic.
In Louisville, the Hispanic is thriving, while there are few White.
In Birmingham, the White is thriving, while there are few Black.
In Raleigh, the Asian is thriving, while there are few Asian.
In Richmond, the White is thriving, while there are few Black.
In Hartford, the Black is thriving, while there are few White.
In New Orleans, the White is thriving, while there are few Hispanic.
In Buffalo, the Asian is thriving, while there are few Asian.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the Black is thriving, while there are few White.
In Grand Rapids, the White is thriving, while there are few White.
In Tucson, the Asian is thriving, while there are few Hispanic.
In Tulsa, the White is thriving, while there are few Black.
In Fresno, the Asian is thriving, while there are few White.
In Wichita, the Black is thriving, while there are few Hispanic.
In Albuquerque, the Asian is thriving, while there are few Hispanic.
In Omaha, the White is thriving, while there are few Black.
In Bakersfield, the Hispanic is thriving, while there are few Asian.
In Knoxville, the Black is thriving, while there are few Black.
In Tampa, the Black is thriving, while there are few Asian.
In Aurora, the White is thriving, while there are few Black.
In Santa Ana, the Asian is thriving, while there are few Hispanic.
In Pittsburgh, the Hispanic is thriving, while there are few Black.
In Cincinnati, the Hispanic is thriving, while there are few Black.
In Anchorage, the Black is thriving, while there are few Hispanic.
In Toledo, the Asian is thriving, while there are few Black.
