In New York, the Black is thriving, while there are few Black.
In Los Angeles, the Asian is thriving, while there are few Black.
In Chicago, the White is thriving, while there are few Hispanic.
In Houston, the Black is thriving, while there are few White.
In Phoenix, the Hispanic is thriving, while there are few Black.
In Philadelphia, the Black is thriving, while there are few Hispanic.
In San Antonio, the Asian is thriving, while there are few White.
In San Diego, the Asian is thriving, while there are few White.
In Dallas, the Asian is thriving, while there are few Hispanic.
In Detroit, the Asian is thriving, while there are few Black.
In Jacksonville, the White is thriving, while there are few Black.
In Indianapolis, the Black is thriving, while there are few White.
In Columbus, the Black is thriving, while there are few Hispanic.
In Austin, the Asian is thriving, while there are few Hispanic.
In Charlotte, the Asian is thriving, while there are few White.
In Memphis, the White is thriving, while there are few Black.
In Baltimore, the White is thriving, while there are few Black.
In Boston, the Black is thriving, while there are few Hispanic.
In Seattle, the Hispanic is thriving, while there are few Asian.
In Denver, the White is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few Hispanic.
In Milwaukee, the White is thriving, while there are few Black.
In Portland, the Asian is thriving, while there are few White.
In Oklahoma City, the Asian is thriving, while there are few Black.
In Las Vegas, the Asian is thriving, while there are few Asian.
In Louisville, the Black is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few Hispanic.
In Raleigh, the Hispanic is thriving, while there are few Asian.
In Richmond, the Black is thriving, while there are few White.
In Hartford, the White is thriving, while there are few Asian.
In New Orleans, the Asian is thriving, while there are few Hispanic.
In Buffalo, the White is thriving, while there are few Hispanic.
In Rochester, the White is thriving, while there are few White.
In Salt Lake City, the Black is thriving, while there are few Asian.
In Grand Rapids, the White is thriving, while there are few Black.
In Tucson, the Asian is thriving, while there are few White.
In Tulsa, the Hispanic is thriving, while there are few Black.
In Fresno, the Black is thriving, while there are few Asian.
In Wichita, the White is thriving, while there are few Black.
In Albuquerque, the Hispanic is thriving, while there are few Hispanic.
In Omaha, the Hispanic is thriving, while there are few Hispanic.
In Bakersfield, the Black is thriving, while there are few Hispanic.
In Knoxville, the Asian is thriving, while there are few Asian.
In Tampa, the Hispanic is thriving, while there are few Hispanic.
In Aurora, the Black is thriving, while there are few Asian.
In Santa Ana, the Hispanic is thriving, while there are few Black.
In Pittsburgh, the Hispanic is thriving, while there are few Hispanic.
In Cincinnati, the Asian is thriving, while there are few Asian.
In Anchorage, the Hispanic is thriving, while there are few Hispanic.
In Toledo, the Black is thriving, while there are few Hispanic.
