In New York, the Asian is thriving, while there are few Asian.
In Los Angeles, the White is thriving, while there are few Asian.
In Chicago, the Black is thriving, while there are few Black.
In Houston, the White is thriving, while there are few White.
In Phoenix, the Black is thriving, while there are few Black.
In Philadelphia, the White is thriving, while there are few Hispanic.
In San Antonio, the Asian is thriving, while there are few Asian.
In San Diego, the Black is thriving, while there are few Black.
In Dallas, the Black is thriving, while there are few Hispanic.
In Detroit, the Black is thriving, while there are few Hispanic.
In Jacksonville, the Asian is thriving, while there are few Asian.
In Indianapolis, the Asian is thriving, while there are few Asian.
In Columbus, the Asian is thriving, while there are few White.
In Austin, the Asian is thriving, while there are few Hispanic.
In Charlotte, the Hispanic is thriving, while there are few Hispanic.
In Memphis, the Hispanic is thriving, while there are few Asian.
In Baltimore, the Asian is thriving, while there are few Hispanic.
In Boston, the White is thriving, while there are few Black.
In Seattle, the White is thriving, while there are few Hispanic.
In Denver, the Asian is thriving, while there are few Hispanic.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the White is thriving, while there are few Asian.
In Portland, the White is thriving, while there are few Black.
In Oklahoma City, the Hispanic is thriving, while there are few White.
In Las Vegas, the Black is thriving, while there are few White.
In Louisville, the Hispanic is thriving, while there are few Black.
In Birmingham, the Hispanic is thriving, while there are few White.
In Raleigh, the Hispanic is thriving, while there are few White.
In Richmond, the Black is thriving, while there are few White.
In Hartford, the Hispanic is thriving, while there are few Black.
In New Orleans, the Black is thriving, while there are few Black.
In Buffalo, the Asian is thriving, while there are few White.
In Rochester, the White is thriving, while there are few White.
In Salt Lake City, the Hispanic is thriving, while there are few White.
In Grand Rapids, the Asian is thriving, while there are few Hispanic.
In Tucson, the Hispanic is thriving, while there are few Asian.
In Tulsa, the Asian is thriving, while there are few Black.
In Fresno, the Black is thriving, while there are few Hispanic.
In Wichita, the Asian is thriving, while there are few Black.
In Albuquerque, the Asian is thriving, while there are few Black.
In Omaha, the Hispanic is thriving, while there are few Asian.
In Bakersfield, the Asian is thriving, while there are few Asian.
In Knoxville, the Hispanic is thriving, while there are few White.
In Tampa, the White is thriving, while there are few White.
In Aurora, the Asian is thriving, while there are few Asian.
In Santa Ana, the Black is thriving, while there are few White.
In Pittsburgh, the Black is thriving, while there are few Black.
In Cincinnati, the Black is thriving, while there are few Hispanic.
In Anchorage, the Black is thriving, while there are few Asian.
In Toledo, the White is thriving, while there are few White.
