In New York, the White is thriving, while there are few Black.
In Los Angeles, the Black is thriving, while there are few Hispanic.
In Chicago, the Hispanic is thriving, while there are few Asian.
In Houston, the Hispanic is thriving, while there are few Black.
In Phoenix, the Hispanic is thriving, while there are few Asian.
In Philadelphia, the Asian is thriving, while there are few White.
In San Antonio, the Asian is thriving, while there are few Asian.
In San Diego, the White is thriving, while there are few Hispanic.
In Dallas, the White is thriving, while there are few Hispanic.
In Detroit, the Black is thriving, while there are few Black.
In Jacksonville, the Black is thriving, while there are few Hispanic.
In Indianapolis, the Asian is thriving, while there are few Asian.
In Columbus, the Asian is thriving, while there are few White.
In Austin, the White is thriving, while there are few White.
In Charlotte, the Black is thriving, while there are few Black.
In Memphis, the Asian is thriving, while there are few Black.
In Baltimore, the Asian is thriving, while there are few Hispanic.
In Boston, the Hispanic is thriving, while there are few White.
In Seattle, the Black is thriving, while there are few Black.
In Denver, the Asian is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few Hispanic.
In Milwaukee, the Black is thriving, while there are few Hispanic.
In Portland, the Asian is thriving, while there are few Hispanic.
In Oklahoma City, the White is thriving, while there are few Black.
In Las Vegas, the Black is thriving, while there are few White.
In Louisville, the Hispanic is thriving, while there are few Hispanic.
In Birmingham, the White is thriving, while there are few White.
In Raleigh, the Black is thriving, while there are few Asian.
In Richmond, the White is thriving, while there are few Black.
In Hartford, the Hispanic is thriving, while there are few Asian.
In New Orleans, the Asian is thriving, while there are few White.
In Buffalo, the Black is thriving, while there are few Asian.
In Rochester, the Hispanic is thriving, while there are few Black.
In Salt Lake City, the Black is thriving, while there are few White.
In Grand Rapids, the White is thriving, while there are few White.
In Tucson, the Asian is thriving, while there are few White.
In Tulsa, the Asian is thriving, while there are few Hispanic.
In Fresno, the Black is thriving, while there are few Hispanic.
In Wichita, the White is thriving, while there are few White.
In Albuquerque, the Black is thriving, while there are few Hispanic.
In Omaha, the Black is thriving, while there are few Hispanic.
In Bakersfield, the Black is thriving, while there are few White.
In Knoxville, the Hispanic is thriving, while there are few White.
In Tampa, the Black is thriving, while there are few Asian.
In Aurora, the Asian is thriving, while there are few Asian.
In Santa Ana, the Hispanic is thriving, while there are few Hispanic.
In Pittsburgh, the White is thriving, while there are few Hispanic.
In Cincinnati, the White is thriving, while there are few White.
In Anchorage, the White is thriving, while there are few Hispanic.
In Toledo, the Asian is thriving, while there are few Hispanic.
