In New York, the Hispanic is thriving, while there are few Black.
In Los Angeles, the Asian is thriving, while there are few Black.
In Chicago, the Hispanic is thriving, while there are few Asian.
In Houston, the White is thriving, while there are few White.
In Phoenix, the White is thriving, while there are few Asian.
In Philadelphia, the Black is thriving, while there are few Hispanic.
In San Antonio, the Black is thriving, while there are few Asian.
In San Diego, the Asian is thriving, while there are few Black.
In Dallas, the Hispanic is thriving, while there are few Hispanic.
In Detroit, the White is thriving, while there are few Black.
In Jacksonville, the Black is thriving, while there are few Hispanic.
In Indianapolis, the Asian is thriving, while there are few Black.
In Columbus, the White is thriving, while there are few White.
In Austin, the Black is thriving, while there are few White.
In Charlotte, the White is thriving, while there are few Hispanic.
In Memphis, the Asian is thriving, while there are few Black.
In Baltimore, the Hispanic is thriving, while there are few Hispanic.
In Boston, the Black is thriving, while there are few Asian.
In Seattle, the White is thriving, while there are few Hispanic.
In Denver, the Hispanic is thriving, while there are few White.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the Asian is thriving, while there are few Hispanic.
In Portland, the Asian is thriving, while there are few Asian.
In Oklahoma City, the Hispanic is thriving, while there are few Hispanic.
In Las Vegas, the Black is thriving, while there are few Hispanic.
In Louisville, the White is thriving, while there are few White.
In Birmingham, the Asian is thriving, while there are few Hispanic.
In Raleigh, the Hispanic is thriving, while there are few Hispanic.
In Richmond, the Black is thriving, while there are few Black.
In Hartford, the Black is thriving, while there are few Asian.
In New Orleans, the Hispanic is thriving, while there are few Black.
In Buffalo, the Black is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few White.
In Salt Lake City, the White is thriving, while there are few White.
In Grand Rapids, the Asian is thriving, while there are few Asian.
In Tucson, the Black is thriving, while there are few Hispanic.
In Tulsa, the Asian is thriving, while there are few White.
In Fresno, the Black is thriving, while there are few White.
In Wichita, the Hispanic is thriving, while there are few Asian.
In Albuquerque, the Hispanic is thriving, while there are few White.
In Omaha, the Asian is thriving, while there are few Asian.
In Bakersfield, the Black is thriving, while there are few Asian.
In Knoxville, the Asian is thriving, while there are few Hispanic.
In Tampa, the Hispanic is thriving, while there are few Hispanic.
In Aurora, the Hispanic is thriving, while there are few Hispanic.
In Santa Ana, the Hispanic is thriving, while there are few White.
In Pittsburgh, the Asian is thriving, while there are few Asian.
In Cincinnati, the Black is thriving, while there are few Asian.
In Anchorage, the White is thriving, while there are few Hispanic.
In Toledo, the Asian is thriving, while there are few White.
