In New York, the White is thriving, while there are few Hispanic.
In Los Angeles, the White is thriving, while there are few Asian.
In Chicago, the White is thriving, while there are few White.
In Houston, the Black is thriving, while there are few Hispanic.
In Phoenix, the Hispanic is thriving, while there are few White.
In Philadelphia, the Hispanic is thriving, while there are few White.
In San Antonio, the Asian is thriving, while there are few Asian.
In San Diego, the White is thriving, while there are few Asian.
In Dallas, the White is thriving, while there are few White.
In Detroit, the Asian is thriving, while there are few White.
In Jacksonville, the Black is thriving, while there are few Black.
In Indianapolis, the White is thriving, while there are few Hispanic.
In Columbus, the Black is thriving, while there are few Asian.
In Austin, the Asian is thriving, while there are few Black.
In Charlotte, the White is thriving, while there are few White.
In Memphis, the White is thriving, while there are few Asian.
In Baltimore, the Asian is thriving, while there are few White.
In Boston, the Asian is thriving, while there are few Black.
In Seattle, the Asian is thriving, while there are few White.
In Denver, the White is thriving, while there are few White.
In Nashville, the White is thriving, while there are few Black.
In Milwaukee, the White is thriving, while there are few Hispanic.
In Portland, the Hispanic is thriving, while there are few Hispanic.
In Oklahoma City, the Black is thriving, while there are few Asian.
In Las Vegas, the Hispanic is thriving, while there are few Black.
In Louisville, the Black is thriving, while there are few White.
In Birmingham, the White is thriving, while there are few Hispanic.
In Raleigh, the White is thriving, while there are few Black.
In Richmond, the Asian is thriving, while there are few Asian.
In Hartford, the White is thriving, while there are few White.
In New Orleans, the Asian is thriving, while there are few Asian.
In Buffalo, the Hispanic is thriving, while there are few White.
In Rochester, the White is thriving, while there are few Asian.
In Salt Lake City, the Asian is thriving, while there are few Asian.
In Grand Rapids, the Asian is thriving, while there are few Hispanic.
In Tucson, the White is thriving, while there are few Black.
In Tulsa, the Black is thriving, while there are few Hispanic.
In Fresno, the Black is thriving, while there are few Asian.
In Wichita, the Hispanic is thriving, while there are few Hispanic.
In Albuquerque, the Black is thriving, while there are few Hispanic.
In Omaha, the Black is thriving, while there are few Hispanic.
In Bakersfield, the Hispanic is thriving, while there are few White.
In Knoxville, the Asian is thriving, while there are few Hispanic.
In Tampa, the White is thriving, while there are few Asian.
In Aurora, the Hispanic is thriving, while there are few White.
In Santa Ana, the Black is thriving, while there are few Black.
In Pittsburgh, the Black is thriving, while there are few Black.
In Cincinnati, the White is thriving, while there are few White.
In Anchorage, the White is thriving, while there are few White.
In Toledo, the Black is thriving, while there are few Black.
