In New York, the Asian is thriving, while there are few Black.
In Los Angeles, the Black is thriving, while there are few Black.
In Chicago, the Black is thriving, while there are few Black.
In Houston, the Black is thriving, while there are few Black.
In Phoenix, the Black is thriving, while there are few Hispanic.
In Philadelphia, the White is thriving, while there are few Black.
In San Antonio, the Black is thriving, while there are few Hispanic.
In San Diego, the Asian is thriving, while there are few Black.
In Dallas, the White is thriving, while there are few Hispanic.
In Detroit, the Asian is thriving, while there are few Hispanic.
In Jacksonville, the White is thriving, while there are few Black.
In Indianapolis, the Asian is thriving, while there are few White.
In Columbus, the White is thriving, while there are few Hispanic.
In Austin, the Black is thriving, while there are few White.
In Charlotte, the White is thriving, while there are few Asian.
In Memphis, the Hispanic is thriving, while there are few Hispanic.
In Baltimore, the Asian is thriving, while there are few Black.
In Boston, the Asian is thriving, while there are few Hispanic.
In Seattle, the Asian is thriving, while there are few White.
In Denver, the Black is thriving, while there are few Asian.
In Nashville, the White is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few Asian.
In Portland, the White is thriving, while there are few Asian.
In Oklahoma City, the Asian is thriving, while there are few Hispanic.
In Las Vegas, the Hispanic is thriving, while there are few Asian.
In Louisville, the Asian is thriving, while there are few Asian.
In Birmingham, the Hispanic is thriving, while there are few Asian.
In Raleigh, the Asian is thriving, while there are few Black.
In Richmond, the White is thriving, while there are few White.
In Hartford, the Black is thriving, while there are few White.
In New Orleans, the Asian is thriving, while there are few Black.
In Buffalo, the Black is thriving, while there are few Asian.
In Rochester, the Asian is thriving, while there are few Hispanic.
In Salt Lake City, the Black is thriving, while there are few White.
In Grand Rapids, the Black is thriving, while there are few Asian.
In Tucson, the White is thriving, while there are few Hispanic.
In Tulsa, the Black is thriving, while there are few Hispanic.
In Fresno, the White is thriving, while there are few White.
In Wichita, the Black is thriving, while there are few Hispanic.
In Albuquerque, the White is thriving, while there are few White.
In Omaha, the Hispanic is thriving, while there are few White.
In Bakersfield, the Black is thriving, while there are few Black.
In Knoxville, the Asian is thriving, while there are few Hispanic.
In Tampa, the Black is thriving, while there are few White.
In Aurora, the Asian is thriving, while there are few Hispanic.
In Santa Ana, the Black is thriving, while there are few Asian.
In Pittsburgh, the Asian is thriving, while there are few White.
In Cincinnati, the Asian is thriving, while there are few Black.
In Anchorage, the Asian is thriving, while there are few Hispanic.
In Toledo, the White is thriving, while there are few White.
