In New York, the Black is thriving, while there are few Hispanic.
In Los Angeles, the Hispanic is thriving, while there are few White.
In Chicago, the Hispanic is thriving, while there are few White.
In Houston, the White is thriving, while there are few Hispanic.
In Phoenix, the White is thriving, while there are few Black.
In Philadelphia, the Hispanic is thriving, while there are few Black.
In San Antonio, the White is thriving, while there are few Black.
In San Diego, the Asian is thriving, while there are few Black.
In Dallas, the Asian is thriving, while there are few Asian.
In Detroit, the Black is thriving, while there are few Black.
In Jacksonville, the Hispanic is thriving, while there are few Asian.
In Indianapolis, the Hispanic is thriving, while there are few Black.
In Columbus, the White is thriving, while there are few Black.
In Austin, the Asian is thriving, while there are few White.
In Charlotte, the Asian is thriving, while there are few White.
In Memphis, the Asian is thriving, while there are few Asian.
In Baltimore, the Hispanic is thriving, while there are few Hispanic.
In Boston, the Hispanic is thriving, while there are few Hispanic.
In Seattle, the Hispanic is thriving, while there are few Asian.
In Denver, the Hispanic is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few Black.
In Milwaukee, the Hispanic is thriving, while there are few White.
In Portland, the White is thriving, while there are few Asian.
In Oklahoma City, the White is thriving, while there are few White.
In Las Vegas, the Asian is thriving, while there are few Asian.
In Louisville, the Hispanic is thriving, while there are few White.
In Birmingham, the Hispanic is thriving, while there are few White.
In Raleigh, the Asian is thriving, while there are few Asian.
In Richmond, the Asian is thriving, while there are few Asian.
In Hartford, the Asian is thriving, while there are few Hispanic.
In New Orleans, the Asian is thriving, while there are few White.
In Buffalo, the Black is thriving, while there are few White.
In Rochester, the Hispanic is thriving, while there are few White.
In Salt Lake City, the Asian is thriving, while there are few Black.
In Grand Rapids, the Black is thriving, while there are few Black.
In Tucson, the Asian is thriving, while there are few Hispanic.
In Tulsa, the White is thriving, while there are few Black.
In Fresno, the Hispanic is thriving, while there are few White.
In Wichita, the Hispanic is thriving, while there are few Hispanic.
In Albuquerque, the Asian is thriving, while there are few Black.
In Omaha, the Black is thriving, while there are few Black.
In Bakersfield, the Asian is thriving, while there are few White.
In Knoxville, the Asian is thriving, while there are few Hispanic.
In Tampa, the Hispanic is thriving, while there are few Asian.
In Aurora, the Asian is thriving, while there are few Hispanic.
In Santa Ana, the White is thriving, while there are few Black.
In Pittsburgh, the Black is thriving, while there are few White.
In Cincinnati, the Hispanic is thriving, while there are few Black.
In Anchorage, the Black is thriving, while there are few Asian.
In Toledo, the Asian is thriving, while there are few Hispanic.
