In New York, the Black is thriving, while there are few Asian.
In Los Angeles, the Black is thriving, while there are few Black.
In Chicago, the Hispanic is thriving, while there are few Hispanic.
In Houston, the White is thriving, while there are few Hispanic.
In Phoenix, the Hispanic is thriving, while there are few Black.
In Philadelphia, the White is thriving, while there are few Asian.
In San Antonio, the Hispanic is thriving, while there are few Asian.
In San Diego, the Asian is thriving, while there are few Hispanic.
In Dallas, the Hispanic is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few Black.
In Jacksonville, the White is thriving, while there are few Hispanic.
In Indianapolis, the White is thriving, while there are few Asian.
In Columbus, the Asian is thriving, while there are few Hispanic.
In Austin, the White is thriving, while there are few Asian.
In Charlotte, the Black is thriving, while there are few White.
In Memphis, the Asian is thriving, while there are few Black.
In Baltimore, the White is thriving, while there are few Black.
In Boston, the Asian is thriving, while there are few Black.
In Seattle, the White is thriving, while there are few White.
In Denver, the Black is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few White.
In Milwaukee, the Asian is thriving, while there are few Asian.
In Portland, the Asian is thriving, while there are few Hispanic.
In Oklahoma City, the Asian is thriving, while there are few Black.
In Las Vegas, the Black is thriving, while there are few White.
In Louisville, the Hispanic is thriving, while there are few Asian.
In Birmingham, the Asian is thriving, while there are few Black.
In Raleigh, the Black is thriving, while there are few Black.
In Richmond, the Asian is thriving, while there are few Hispanic.
In Hartford, the White is thriving, while there are few Asian.
In New Orleans, the Hispanic is thriving, while there are few White.
In Buffalo, the Asian is thriving, while there are few Hispanic.
In Rochester, the Hispanic is thriving, while there are few Hispanic.
In Salt Lake City, the Hispanic is thriving, while there are few Black.
In Grand Rapids, the Asian is thriving, while there are few Black.
In Tucson, the White is thriving, while there are few Hispanic.
In Tulsa, the Black is thriving, while there are few Black.
In Fresno, the Black is thriving, while there are few White.
In Wichita, the White is thriving, while there are few Hispanic.
In Albuquerque, the Hispanic is thriving, while there are few Asian.
In Omaha, the White is thriving, while there are few Hispanic.
In Bakersfield, the Asian is thriving, while there are few Black.
In Knoxville, the White is thriving, while there are few Asian.
In Tampa, the Black is thriving, while there are few Asian.
In Aurora, the White is thriving, while there are few Black.
In Santa Ana, the Hispanic is thriving, while there are few White.
In Pittsburgh, the Black is thriving, while there are few Black.
In Cincinnati, the Hispanic is thriving, while there are few Hispanic.
In Anchorage, the White is thriving, while there are few Black.
In Toledo, the Asian is thriving, while there are few White.
