In New York, the White is thriving, while there are few Hispanic.
In Los Angeles, the Hispanic is thriving, while there are few Hispanic.
In Chicago, the Black is thriving, while there are few Asian.
In Houston, the White is thriving, while there are few Asian.
In Phoenix, the Hispanic is thriving, while there are few White.
In Philadelphia, the Asian is thriving, while there are few Black.
In San Antonio, the Asian is thriving, while there are few Black.
In San Diego, the Asian is thriving, while there are few White.
In Dallas, the White is thriving, while there are few White.
In Detroit, the Black is thriving, while there are few White.
In Jacksonville, the Black is thriving, while there are few White.
In Indianapolis, the White is thriving, while there are few Black.
In Columbus, the Asian is thriving, while there are few Hispanic.
In Austin, the Black is thriving, while there are few White.
In Charlotte, the Black is thriving, while there are few Asian.
In Memphis, the White is thriving, while there are few Hispanic.
In Baltimore, the Hispanic is thriving, while there are few Hispanic.
In Boston, the Black is thriving, while there are few White.
In Seattle, the Black is thriving, while there are few Black.
In Denver, the Black is thriving, while there are few White.
In Nashville, the Black is thriving, while there are few Hispanic.
In Milwaukee, the Hispanic is thriving, while there are few Hispanic.
In Portland, the Black is thriving, while there are few Hispanic.
In Oklahoma City, the Hispanic is thriving, while there are few Black.
In Las Vegas, the Black is thriving, while there are few Asian.
In Louisville, the Asian is thriving, while there are few Asian.
In Birmingham, the Black is thriving, while there are few White.
In Raleigh, the White is thriving, while there are few Asian.
In Richmond, the Hispanic is thriving, while there are few White.
In Hartford, the Black is thriving, while there are few Asian.
In New Orleans, the White is thriving, while there are few Hispanic.
In Buffalo, the White is thriving, while there are few Asian.
In Rochester, the Asian is thriving, while there are few White.
In Salt Lake City, the Asian is thriving, while there are few White.
In Grand Rapids, the Hispanic is thriving, while there are few Black.
In Tucson, the Hispanic is thriving, while there are few Hispanic.
In Tulsa, the Hispanic is thriving, while there are few White.
In Fresno, the Hispanic is thriving, while there are few Black.
In Wichita, the White is thriving, while there are few Asian.
In Albuquerque, the Hispanic is thriving, while there are few Asian.
In Omaha, the Hispanic is thriving, while there are few Black.
In Bakersfield, the Asian is thriving, while there are few Hispanic.
In Knoxville, the Black is thriving, while there are few Black.
In Tampa, the Asian is thriving, while there are few Asian.
In Aurora, the White is thriving, while there are few Asian.
In Santa Ana, the Hispanic is thriving, while there are few White.
In Pittsburgh, the White is thriving, while there are few Hispanic.
In Cincinnati, the Hispanic is thriving, while there are few White.
In Anchorage, the Black is thriving, while there are few White.
In Toledo, the Asian is thriving, while there are few Hispanic.
