In New York, the Hispanic is thriving, while there are few Asian.
In Los Angeles, the Asian is thriving, while there are few White.
In Chicago, the Black is thriving, while there are few White.
In Houston, the Hispanic is thriving, while there are few Black.
In Phoenix, the Asian is thriving, while there are few Hispanic.
In Philadelphia, the Hispanic is thriving, while there are few Asian.
In San Antonio, the Hispanic is thriving, while there are few Black.
In San Diego, the Hispanic is thriving, while there are few Hispanic.
In Dallas, the Hispanic is thriving, while there are few Black.
In Detroit, the Hispanic is thriving, while there are few White.
In Jacksonville, the Asian is thriving, while there are few White.
In Indianapolis, the Hispanic is thriving, while there are few White.
In Columbus, the White is thriving, while there are few Hispanic.
In Austin, the Asian is thriving, while there are few Asian.
In Charlotte, the Black is thriving, while there are few Black.
In Memphis, the Asian is thriving, while there are few Hispanic.
In Baltimore, the Asian is thriving, while there are few White.
In Boston, the Hispanic is thriving, while there are few White.
In Seattle, the Hispanic is thriving, while there are few Asian.
In Denver, the Asian is thriving, while there are few Black.
In Nashville, the Black is thriving, while there are few Asian.
In Milwaukee, the Hispanic is thriving, while there are few Hispanic.
In Portland, the Black is thriving, while there are few Black.
In Oklahoma City, the White is thriving, while there are few Asian.
In Las Vegas, the Black is thriving, while there are few Hispanic.
In Louisville, the White is thriving, while there are few Asian.
In Birmingham, the Asian is thriving, while there are few White.
In Raleigh, the Hispanic is thriving, while there are few Black.
In Richmond, the Black is thriving, while there are few White.
In Hartford, the Black is thriving, while there are few Hispanic.
In New Orleans, the White is thriving, while there are few Hispanic.
In Buffalo, the Black is thriving, while there are few Asian.
In Rochester, the White is thriving, while there are few Hispanic.
In Salt Lake City, the Black is thriving, while there are few Asian.
In Grand Rapids, the Hispanic is thriving, while there are few Black.
In Tucson, the Black is thriving, while there are few White.
In Tulsa, the Asian is thriving, while there are few Hispanic.
In Fresno, the Black is thriving, while there are few Black.
In Wichita, the Black is thriving, while there are few Hispanic.
In Albuquerque, the Hispanic is thriving, while there are few Hispanic.
In Omaha, the White is thriving, while there are few Hispanic.
In Bakersfield, the Hispanic is thriving, while there are few Black.
In Knoxville, the White is thriving, while there are few Black.
In Tampa, the Black is thriving, while there are few Black.
In Aurora, the Hispanic is thriving, while there are few Asian.
In Santa Ana, the Asian is thriving, while there are few Black.
In Pittsburgh, the Black is thriving, while there are few White.
In Cincinnati, the Asian is thriving, while there are few Asian.
In Anchorage, the Black is thriving, while there are few Hispanic.
In Toledo, the White is thriving, while there are few Black.
