In New York, the Hispanic is thriving, while there are few Black.
In Los Angeles, the Asian is thriving, while there are few Black.
In Chicago, the Asian is thriving, while there are few Asian.
In Houston, the Asian is thriving, while there are few White.
In Phoenix, the Hispanic is thriving, while there are few White.
In Philadelphia, the White is thriving, while there are few White.
In San Antonio, the White is thriving, while there are few Hispanic.
In San Diego, the Hispanic is thriving, while there are few Asian.
In Dallas, the Black is thriving, while there are few White.
In Detroit, the Hispanic is thriving, while there are few Asian.
In Jacksonville, the Black is thriving, while there are few Black.
In Indianapolis, the White is thriving, while there are few White.
In Columbus, the Black is thriving, while there are few Black.
In Austin, the Hispanic is thriving, while there are few Black.
In Charlotte, the Black is thriving, while there are few White.
In Memphis, the White is thriving, while there are few White.
In Baltimore, the Hispanic is thriving, while there are few Asian.
In Boston, the Hispanic is thriving, while there are few Black.
In Seattle, the Hispanic is thriving, while there are few Hispanic.
In Denver, the Asian is thriving, while there are few Black.
In Nashville, the Black is thriving, while there are few Black.
In Milwaukee, the Asian is thriving, while there are few Asian.
In Portland, the Hispanic is thriving, while there are few White.
In Oklahoma City, the Asian is thriving, while there are few Hispanic.
In Las Vegas, the White is thriving, while there are few Black.
In Louisville, the Asian is thriving, while there are few White.
In Birmingham, the Asian is thriving, while there are few Hispanic.
In Raleigh, the Hispanic is thriving, while there are few Asian.
In Richmond, the Hispanic is thriving, while there are few Hispanic.
In Hartford, the Black is thriving, while there are few Asian.
In New Orleans, the White is thriving, while there are few White.
In Buffalo, the Asian is thriving, while there are few Black.
In Rochester, the Asian is thriving, while there are few Black.
In Salt Lake City, the Black is thriving, while there are few White.
In Grand Rapids, the White is thriving, while there are few Asian.
In Tucson, the Asian is thriving, while there are few Black.
In Tulsa, the Asian is thriving, while there are few Black.
In Fresno, the White is thriving, while there are few Hispanic.
In Wichita, the Black is thriving, while there are few Black.
In Albuquerque, the White is thriving, while there are few White.
In Omaha, the White is thriving, while there are few Black.
In Bakersfield, the White is thriving, while there are few Black.
In Knoxville, the Asian is thriving, while there are few White.
In Tampa, the Black is thriving, while there are few Hispanic.
In Aurora, the Asian is thriving, while there are few Black.
In Santa Ana, the Black is thriving, while there are few Black.
In Pittsburgh, the Black is thriving, while there are few Hispanic.
In Cincinnati, the Hispanic is thriving, while there are few White.
In Anchorage, the White is thriving, while there are few White.
In Toledo, the Black is thriving, while there are few Black.
