In New York, the Hispanic is thriving, while there are few White.
In Los Angeles, the White is thriving, while there are few Black.
In Chicago, the Asian is thriving, while there are few Asian.
In Houston, the Hispanic is thriving, while there are few Hispanic.
In Phoenix, the Asian is thriving, while there are few Asian.
In Philadelphia, the Asian is thriving, while there are few Hispanic.
In San Antonio, the White is thriving, while there are few Black.
In San Diego, the Black is thriving, while there are few Hispanic.
In Dallas, the Black is thriving, while there are few White.
In Detroit, the Black is thriving, while there are few Hispanic.
In Jacksonville, the White is thriving, while there are few Hispanic.
In Indianapolis, the Black is thriving, while there are few Hispanic.
In Columbus, the Hispanic is thriving, while there are few Asian.
In Austin, the Black is thriving, while there are few White.
In Charlotte, the Black is thriving, while there are few Hispanic.
In Memphis, the Hispanic is thriving, while there are few Hispanic.
In Baltimore, the Hispanic is thriving, while there are few Black.
In Boston, the Black is thriving, while there are few Black.
In Seattle, the White is thriving, while there are few Hispanic.
In Denver, the Black is thriving, while there are few Asian.
In Nashville, the Asian is thriving, while there are few Hispanic.
In Milwaukee, the White is thriving, while there are few Asian.
In Portland, the Black is thriving, while there are few Hispanic.
In Oklahoma City, the White is thriving, while there are few Hispanic.
In Las Vegas, the Hispanic is thriving, while there are few White.
In Louisville, the Black is thriving, while there are few Hispanic.
In Birmingham, the Black is thriving, while there are few White.
In Raleigh, the Hispanic is thriving, while there are few Black.
In Richmond, the Black is thriving, while there are few Hispanic.
In Hartford, the Black is thriving, while there are few Hispanic.
In New Orleans, the Hispanic is thriving, while there are few White.
In Buffalo, the White is thriving, while there are few Hispanic.
In Rochester, the Asian is thriving, while there are few Hispanic.
In Salt Lake City, the Black is thriving, while there are few Black.
In Grand Rapids, the Asian is thriving, while there are few White.
In Tucson, the Black is thriving, while there are few White.
In Tulsa, the Black is thriving, while there are few Asian.
In Fresno, the Asian is thriving, while there are few Hispanic.
In Wichita, the Black is thriving, while there are few White.
In Albuquerque, the Asian is thriving, while there are few Hispanic.
In Omaha, the White is thriving, while there are few White.
In Bakersfield, the Hispanic is thriving, while there are few White.
In Knoxville, the Black is thriving, while there are few Hispanic.
In Tampa, the Asian is thriving, while there are few White.
In Aurora, the Black is thriving, while there are few Asian.
In Santa Ana, the White is thriving, while there are few Black.
In Pittsburgh, the Hispanic is thriving, while there are few Hispanic.
In Cincinnati, the Hispanic is thriving, while there are few Asian.
In Anchorage, the White is thriving, while there are few Black.
In Toledo, the Black is thriving, while there are few Black.
