In New York, the Hispanic is thriving, while there are few Hispanic.
In Los Angeles, the Asian is thriving, while there are few Black.
In Chicago, the White is thriving, while there are few Black.
In Houston, the White is thriving, while there are few Black.
In Phoenix, the Asian is thriving, while there are few White.
In Philadelphia, the Hispanic is thriving, while there are few Hispanic.
In San Antonio, the Black is thriving, while there are few White.
In San Diego, the Hispanic is thriving, while there are few Asian.
In Dallas, the White is thriving, while there are few Asian.
In Detroit, the White is thriving, while there are few Black.
In Jacksonville, the Asian is thriving, while there are few Black.
In Indianapolis, the Hispanic is thriving, while there are few Asian.
In Columbus, the Asian is thriving, while there are few White.
In Austin, the White is thriving, while there are few Black.
In Charlotte, the Hispanic is thriving, while there are few White.
In Memphis, the Black is thriving, while there are few Black.
In Baltimore, the Hispanic is thriving, while there are few Black.
In Boston, the Black is thriving, while there are few Black.
In Seattle, the Hispanic is thriving, while there are few White.
In Denver, the Hispanic is thriving, while there are few Black.
In Nashville, the White is thriving, while there are few Hispanic.
In Milwaukee, the White is thriving, while there are few Asian.
In Portland, the Hispanic is thriving, while there are few Black.
In Oklahoma City, the Hispanic is thriving, while there are few Black.
In Las Vegas, the White is thriving, while there are few Black.
In Louisville, the Black is thriving, while there are few Asian.
In Birmingham, the Hispanic is thriving, while there are few Asian.
In Raleigh, the Black is thriving, while there are few Asian.
In Richmond, the White is thriving, while there are few White.
In Hartford, the White is thriving, while there are few Hispanic.
In New Orleans, the White is thriving, while there are few White.
In Buffalo, the Hispanic is thriving, while there are few Asian.
In Rochester, the Asian is thriving, while there are few White.
In Salt Lake City, the Asian is thriving, while there are few Black.
In Grand Rapids, the Black is thriving, while there are few Hispanic.
In Tucson, the Asian is thriving, while there are few Hispanic.
In Tulsa, the Hispanic is thriving, while there are few Asian.
In Fresno, the Black is thriving, while there are few White.
In Wichita, the White is thriving, while there are few Asian.
In Albuquerque, the White is thriving, while there are few Black.
In Omaha, the Black is thriving, while there are few Black.
In Bakersfield, the Asian is thriving, while there are few Hispanic.
In Knoxville, the Black is thriving, while there are few White.
In Tampa, the Asian is thriving, while there are few White.
In Aurora, the Black is thriving, while there are few Asian.
In Santa Ana, the Asian is thriving, while there are few Black.
In Pittsburgh, the Hispanic is thriving, while there are few White.
In Cincinnati, the Hispanic is thriving, while there are few Black.
In Anchorage, the Asian is thriving, while there are few Hispanic.
In Toledo, the White is thriving, while there are few Black.
