In New York, the Asian is thriving, while there are few Black.
In Los Angeles, the Black is thriving, while there are few Asian.
In Chicago, the Asian is thriving, while there are few Black.
In Houston, the Asian is thriving, while there are few Black.
In Phoenix, the Black is thriving, while there are few Asian.
In Philadelphia, the Black is thriving, while there are few Asian.
In San Antonio, the Asian is thriving, while there are few Hispanic.
In San Diego, the Black is thriving, while there are few White.
In Dallas, the Asian is thriving, while there are few Hispanic.
In Detroit, the White is thriving, while there are few White.
In Jacksonville, the Hispanic is thriving, while there are few Hispanic.
In Indianapolis, the Hispanic is thriving, while there are few Hispanic.
In Columbus, the Hispanic is thriving, while there are few White.
In Austin, the White is thriving, while there are few Asian.
In Charlotte, the White is thriving, while there are few Hispanic.
In Memphis, the Asian is thriving, while there are few Hispanic.
In Baltimore, the Hispanic is thriving, while there are few Hispanic.
In Boston, the White is thriving, while there are few Black.
In Seattle, the Hispanic is thriving, while there are few Asian.
In Denver, the Asian is thriving, while there are few Asian.
In Nashville, the Asian is thriving, while there are few Black.
In Milwaukee, the Hispanic is thriving, while there are few Asian.
In Portland, the Black is thriving, while there are few Hispanic.
In Oklahoma City, the White is thriving, while there are few Asian.
In Las Vegas, the Black is thriving, while there are few White.
In Louisville, the White is thriving, while there are few Asian.
In Birmingham, the Black is thriving, while there are few White.
In Raleigh, the Hispanic is thriving, while there are few Asian.
In Richmond, the Hispanic is thriving, while there are few White.
In Hartford, the Asian is thriving, while there are few Asian.
In New Orleans, the Hispanic is thriving, while there are few Hispanic.
In Buffalo, the Asian is thriving, while there are few Hispanic.
In Rochester, the Asian is thriving, while there are few Asian.
In Salt Lake City, the Hispanic is thriving, while there are few Hispanic.
In Grand Rapids, the White is thriving, while there are few Hispanic.
In Tucson, the White is thriving, while there are few Hispanic.
In Tulsa, the Asian is thriving, while there are few Asian.
In Fresno, the White is thriving, while there are few Asian.
In Wichita, the Asian is thriving, while there are few Asian.
In Albuquerque, the Hispanic is thriving, while there are few Black.
In Omaha, the Asian is thriving, while there are few White.
In Bakersfield, the Asian is thriving, while there are few Black.
In Knoxville, the Black is thriving, while there are few Asian.
In Tampa, the Black is thriving, while there are few Hispanic.
In Aurora, the Asian is thriving, while there are few Black.
In Santa Ana, the Hispanic is thriving, while there are few Asian.
In Pittsburgh, the Black is thriving, while there are few Asian.
In Cincinnati, the Black is thriving, while there are few White.
In Anchorage, the Hispanic is thriving, while there are few Black.
In Toledo, the Hispanic is thriving, while there are few Black.
