In New York, the Hispanic is thriving, while there are few White.
In Los Angeles, the Asian is thriving, while there are few Black.
In Chicago, the Asian is thriving, while there are few White.
In Houston, the White is thriving, while there are few White.
In Phoenix, the Black is thriving, while there are few Asian.
In Philadelphia, the Black is thriving, while there are few Black.
In San Antonio, the Black is thriving, while there are few Black.
In San Diego, the Black is thriving, while there are few Asian.
In Dallas, the Asian is thriving, while there are few Hispanic.
In Detroit, the White is thriving, while there are few Asian.
In Jacksonville, the Black is thriving, while there are few Black.
In Indianapolis, the Asian is thriving, while there are few Asian.
In Columbus, the Hispanic is thriving, while there are few White.
In Austin, the Hispanic is thriving, while there are few Hispanic.
In Charlotte, the Asian is thriving, while there are few White.
In Memphis, the Hispanic is thriving, while there are few White.
In Baltimore, the Black is thriving, while there are few Asian.
In Boston, the Black is thriving, while there are few Asian.
In Seattle, the Hispanic is thriving, while there are few Hispanic.
In Denver, the White is thriving, while there are few Black.
In Nashville, the Black is thriving, while there are few Black.
In Milwaukee, the Asian is thriving, while there are few Black.
In Portland, the Hispanic is thriving, while there are few Black.
In Oklahoma City, the Asian is thriving, while there are few Hispanic.
In Las Vegas, the White is thriving, while there are few Asian.
In Louisville, the Black is thriving, while there are few Black.
In Birmingham, the Black is thriving, while there are few Hispanic.
In Raleigh, the Black is thriving, while there are few Asian.
In Richmond, the Black is thriving, while there are few White.
In Hartford, the Black is thriving, while there are few Asian.
In New Orleans, the Hispanic is thriving, while there are few White.
In Buffalo, the Asian is thriving, while there are few Black.
In Rochester, the Black is thriving, while there are few Asian.
In Salt Lake City, the Black is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few White.
In Tucson, the Asian is thriving, while there are few White.
In Tulsa, the Hispanic is thriving, while there are few White.
In Fresno, the Asian is thriving, while there are few Black.
In Wichita, the Asian is thriving, while there are few Asian.
In Albuquerque, the Black is thriving, while there are few Hispanic.
In Omaha, the White is thriving, while there are few Hispanic.
In Bakersfield, the Black is thriving, while there are few Asian.
In Knoxville, the Asian is thriving, while there are few Black.
In Tampa, the Black is thriving, while there are few Asian.
In Aurora, the Hispanic is thriving, while there are few Black.
In Santa Ana, the White is thriving, while there are few White.
In Pittsburgh, the Asian is thriving, while there are few Asian.
In Cincinnati, the Hispanic is thriving, while there are few Asian.
In Anchorage, the Black is thriving, while there are few Hispanic.
In Toledo, the Asian is thriving, while there are few White.
